dataset,task,view,repetition,held_out_group,n_target_trials,n_target_unique_stimuli,trial_weighted_overlap_fraction,unique_stimulus_overlap_fraction,n_fallback_trials,fallback_trial_fraction,source_participants_per_target_stimulus_min,source_participants_per_target_stimulus_median,source_participants_per_target_stimulus_mean,source_participants_per_target_stimulus_max,source_trials_per_target_stimulus_min,source_trials_per_target_stimulus_median,source_trials_per_target_stimulus_mean,source_trials_per_target_stimulus_max
DEAP,arousal,A_LOPO,0,s17,39,39,1.0,1.0,0,0.0,28.0,31.0,30.58974358974359,31.0,28.0,31.0,30.58974358974359,31.0
DEAP,arousal,A_LOPO,0,s18,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s19,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s20,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s21,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s22,39,39,1.0,1.0,0,0.0,29.0,31.0,30.641025641025642,31.0,29.0,31.0,30.641025641025642,31.0
DEAP,arousal,A_LOPO,0,s23,37,37,1.0,1.0,0,0.0,28.0,31.0,30.675675675675677,31.0,28.0,31.0,30.675675675675677,31.0
DEAP,arousal,A_LOPO,0,s24,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s25,39,39,1.0,1.0,0,0.0,28.0,31.0,30.58974358974359,31.0,28.0,31.0,30.58974358974359,31.0
DEAP,arousal,A_LOPO,0,s26,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s27,40,40,1.0,1.0,0,0.0,28.0,31.0,30.575,31.0,28.0,31.0,30.575,31.0
DEAP,arousal,A_LOPO,0,s28,38,38,1.0,1.0,0,0.0,28.0,31.0,30.657894736842106,31.0,28.0,31.0,30.657894736842106,31.0
DEAP,arousal,A_LOPO,0,s29,38,38,1.0,1.0,0,0.0,29.0,31.0,30.68421052631579,31.0,29.0,31.0,30.68421052631579,31.0
DEAP,arousal,A_LOPO,0,s30,39,39,1.0,1.0,0,0.0,28.0,31.0,30.58974358974359,31.0,28.0,31.0,30.58974358974359,31.0
DEAP,arousal,A_LOPO,0,s31,39,39,1.0,1.0,0,0.0,28.0,31.0,30.58974358974359,31.0,28.0,31.0,30.58974358974359,31.0
DEAP,arousal,A_LOPO,0,s32,39,39,1.0,1.0,0,0.0,28.0,31.0,30.58974358974359,31.0,28.0,31.0,30.58974358974359,31.0
DEAP,arousal,B_SUBJECT_FOLD,0,0,436,40,1.0,1.0,0,0.0,19.0,21.0,20.675,21.0,19.0,21.0,20.675,21.0
DEAP,arousal,B_SUBJECT_FOLD,0,1,431,40,1.0,1.0,0,0.0,18.0,21.0,20.8,21.0,18.0,21.0,20.8,21.0
DEAP,arousal,B_SUBJECT_FOLD,0,2,396,40,1.0,1.0,0,0.0,19.0,22.0,21.675,22.0,19.0,22.0,21.675,22.0
DEAP,valence,A_LOPO,0,s01,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s02,37,37,1.0,1.0,0,0.0,29.0,31.0,30.675675675675677,31.0,29.0,31.0,30.675675675675677,31.0
DEAP,valence,A_LOPO,0,s03,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s04,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s05,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s06,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s07,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s08,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s09,39,39,1.0,1.0,0,0.0,29.0,31.0,30.615384615384617,31.0,29.0,31.0,30.615384615384617,31.0
DEAP,valence,A_LOPO,0,s10,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s11,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s12,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s13,39,39,1.0,1.0,0,0.0,29.0,31.0,30.615384615384617,31.0,29.0,31.0,30.615384615384617,31.0
DEAP,valence,A_LOPO,0,s14,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s15,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s16,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s17,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s18,38,38,1.0,1.0,0,0.0,29.0,31.0,30.657894736842106,31.0,29.0,31.0,30.657894736842106,31.0
DEAP,valence,A_LOPO,0,s19,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s20,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s21,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s22,38,38,1.0,1.0,0,0.0,29.0,31.0,30.63157894736842,31.0,29.0,31.0,30.63157894736842,31.0
DEAP,valence,A_LOPO,0,s23,39,39,1.0,1.0,0,0.0,29.0,31.0,30.615384615384617,31.0,29.0,31.0,30.615384615384617,31.0
DEAP,valence,A_LOPO,0,s24,39,39,1.0,1.0,0,0.0,29.0,31.0,30.641025641025642,31.0,29.0,31.0,30.641025641025642,31.0
DEAP,valence,A_LOPO,0,s25,38,38,1.0,1.0,0,0.0,29.0,31.0,30.657894736842106,31.0,29.0,31.0,30.657894736842106,31.0
DEAP,valence,A_LOPO,0,s26,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s27,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s28,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s29,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s30,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,A_LOPO,0,s31,37,37,1.0,1.0,0,0.0,29.0,31.0,30.64864864864865,31.0,29.0,31.0,30.64864864864865,31.0
DEAP,valence,A_LOPO,0,s32,40,40,1.0,1.0,0,0.0,29.0,31.0,30.6,31.0,29.0,31.0,30.6,31.0
DEAP,valence,B_SUBJECT_FOLD,0,0,437,40,1.0,1.0,0,0.0,19.0,21.0,20.675,21.0,19.0,21.0,20.675,21.0
DEAP,valence,B_SUBJECT_FOLD,0,1,427,40,1.0,1.0,0,0.0,20.0,21.0,20.925,21.0,20.0,21.0,20.925,21.0
DEAP,valence,B_SUBJECT_FOLD,0,2,400,40,1.0,1.0,0,0.0,20.0,22.0,21.6,22.0,20.0,22.0,21.6,22.0
DEJAVU,arousal,A_LOPO,0,P001,3,3,0.6666666666666666,0.6666666666666666,1,0.3333333333333333,0.0,1.0,3.0,8.0,0.0,1.0,3.0,8.0
DEJAVU,arousal,A_LOPO,0,P002,5,5,1.0,1.0,0,0.0,3.0,5.0,5.2,7.0,3.0,5.0,5.2,7.0
DEJAVU,arousal,A_LOPO,0,P003,3,3,1.0,1.0,0,0.0,2.0,4.0,3.6666666666666665,5.0,2.0,4.0,3.6666666666666665,5.0
DEJAVU,arousal,A_LOPO,0,P004,1,1,1.0,1.0,0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
DEJAVU,arousal,A_LOPO,0,P005,2,2,1.0,1.0,0,0.0,4.0,6.0,6.0,8.0,4.0,6.0,6.0,8.0
DEJAVU,arousal,A_LOPO,0,P006,2,2,1.0,1.0,0,0.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0
DEJAVU,arousal,A_LOPO,0,P007,6,6,1.0,1.0,0,0.0,4.0,5.5,5.666666666666667,7.0,4.0,5.5,5.666666666666667,7.0
DEJAVU,arousal,A_LOPO,0,P008,3,3,1.0,1.0,0,0.0,4.0,4.0,4.333333333333333,5.0,4.0,4.0,4.333333333333333,5.0
DEJAVU,arousal,A_LOPO,0,P009,5,5,1.0,1.0,0,0.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0
DEJAVU,arousal,A_LOPO,0,P010,2,2,1.0,1.0,0,0.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0
DEJAVU,arousal,A_LOPO,0,P011,5,5,1.0,1.0,0,0.0,3.0,5.0,5.2,8.0,3.0,5.0,5.2,8.0
DEJAVU,arousal,A_LOPO,0,P013,2,2,1.0,1.0,0,0.0,4.0,5.5,5.5,7.0,4.0,5.5,5.5,7.0
DEJAVU,arousal,A_LOPO,0,P014,1,1,1.0,1.0,0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
DEJAVU,arousal,A_LOPO,0,P016,3,3,1.0,1.0,0,0.0,4.0,5.0,5.333333333333333,7.0,4.0,5.0,5.333333333333333,7.0
DEJAVU,arousal,A_LOPO,0,P017,6,6,0.6666666666666666,0.6666666666666666,2,0.3333333333333333,0.0,2.5,2.8333333333333335,7.0,0.0,2.5,2.8333333333333335,7.0
DEJAVU,arousal,A_LOPO,0,P018,2,2,1.0,1.0,0,0.0,7.0,7.5,7.5,8.0,7.0,7.5,7.5,8.0
DEJAVU,arousal,A_LOPO,0,P021,3,3,1.0,1.0,0,0.0,3.0,7.0,6.0,8.0,3.0,7.0,6.0,8.0
DEJAVU,arousal,A_LOPO,0,P022,2,2,1.0,1.0,0,0.0,6.0,7.0,7.0,8.0,6.0,7.0,7.0,8.0
DEJAVU,arousal,A_LOPO,0,P023,3,3,1.0,1.0,0,0.0,5.0,5.0,5.333333333333333,6.0,5.0,5.0,5.333333333333333,6.0
DEJAVU,arousal,A_LOPO,0,P024,2,2,1.0,1.0,0,0.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0
DEJAVU,arousal,A_LOPO,0,P025,3,3,1.0,1.0,0,0.0,7.0,7.0,7.333333333333333,8.0,7.0,7.0,7.333333333333333,8.0
DEJAVU,arousal,A_LOPO,0,P026,2,2,1.0,1.0,0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
DEJAVU,arousal,A_LOPO,0,P027,3,3,1.0,1.0,0,0.0,3.0,4.0,5.0,8.0,3.0,4.0,5.0,8.0
DEJAVU,arousal,A_LOPO,0,P028,2,2,1.0,1.0,0,0.0,6.0,7.0,7.0,8.0,6.0,7.0,7.0,8.0
DEJAVU,arousal,B_SUBJECT_FOLD,0,1,25,11,1.0,1.0,0,0.0,1.0,3.0,3.727272727272727,7.0,1.0,3.0,3.727272727272727,7.0
DEJAVU,arousal,B_SUBJECT_FOLD,0,2,27,14,0.8148148148148148,0.7142857142857143,5,0.18518518518518517,0.0,3.0,2.857142857142857,6.0,0.0,3.0,2.857142857142857,6.0
DEJAVU,arousal,B_SUBJECT_FOLD,0,3,19,10,1.0,1.0,0,0.0,2.0,4.0,4.1,6.0,2.0,4.0,4.1,6.0
DEJAVU,arousal,B_SUBJECT_FOLD,1,1,25,13,0.92,0.8461538461538461,2,0.08,0.0,3.0,3.1538461538461537,8.0,0.0,3.0,3.1538461538461537,8.0
DEJAVU,arousal,B_SUBJECT_FOLD,1,2,24,11,1.0,1.0,0,0.0,2.0,4.0,3.8181818181818183,6.0,2.0,4.0,3.8181818181818183,6.0
DEJAVU,arousal,B_SUBJECT_FOLD,1,3,22,11,0.9545454545454546,0.9090909090909091,1,0.045454545454545456,0.0,4.0,3.5454545454545454,6.0,0.0,4.0,3.5454545454545454,6.0
DEJAVU,arousal,B_SUBJECT_FOLD,2,1,25,15,0.8,0.7333333333333333,5,0.2,0.0,3.0,3.066666666666667,7.0,0.0,3.0,3.066666666666667,7.0
DEJAVU,arousal,B_SUBJECT_FOLD,2,2,22,11,1.0,1.0,0,0.0,2.0,4.0,4.0,7.0,2.0,4.0,4.0,7.0
DEJAVU,arousal,B_SUBJECT_FOLD,2,3,24,11,1.0,1.0,0,0.0,2.0,4.0,3.8181818181818183,6.0,2.0,4.0,3.8181818181818183,6.0
DEJAVU,arousal,B_SUBJECT_FOLD,3,1,27,13,0.9259259259259259,0.8461538461538461,2,0.07407407407407407,0.0,3.0,3.076923076923077,7.0,0.0,3.0,3.076923076923077,7.0
DEJAVU,arousal,B_SUBJECT_FOLD,3,2,19,10,1.0,1.0,0,0.0,2.0,4.0,4.2,7.0,2.0,4.0,4.2,7.0
DEJAVU,arousal,B_SUBJECT_FOLD,3,3,25,13,0.96,0.9230769230769231,1,0.04,0.0,4.0,3.3846153846153846,6.0,0.0,4.0,3.3846153846153846,6.0
DEJAVU,arousal,B_SUBJECT_FOLD,4,1,22,11,1.0,1.0,0,0.0,1.0,5.0,4.0,6.0,1.0,5.0,4.0,6.0
DEJAVU,arousal,B_SUBJECT_FOLD,4,2,25,12,0.96,0.9166666666666666,1,0.04,0.0,3.0,3.3333333333333335,7.0,0.0,3.0,3.3333333333333335,7.0
DEJAVU,arousal,B_SUBJECT_FOLD,4,3,24,14,0.9166666666666666,0.8571428571428571,2,0.08333333333333333,0.0,3.5,3.2857142857142856,6.0,0.0,3.5,3.2857142857142856,6.0
DEJAVU,valence,A_LOPO,0,P001,5,5,0.6,0.6,2,0.4,0.0,1.0,3.0,9.0,0.0,1.0,3.0,9.0
DEJAVU,valence,A_LOPO,0,P002,5,5,1.0,1.0,0,0.0,3.0,6.0,5.2,7.0,3.0,6.0,5.2,7.0
DEJAVU,valence,A_LOPO,0,P003,2,2,1.0,1.0,0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
DEJAVU,valence,A_LOPO,0,P004,3,3,1.0,1.0,0,0.0,4.0,7.0,6.666666666666667,9.0,4.0,7.0,6.666666666666667,9.0
DEJAVU,valence,A_LOPO,0,P005,1,1,1.0,1.0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
DEJAVU,valence,A_LOPO,0,P006,3,3,1.0,1.0,0,0.0,3.0,3.0,5.0,9.0,3.0,3.0,5.0,9.0
DEJAVU,valence,A_LOPO,0,P007,6,6,1.0,1.0,0,0.0,3.0,6.0,5.666666666666667,7.0,3.0,6.0,5.666666666666667,7.0
DEJAVU,valence,A_LOPO,0,P008,3,3,1.0,1.0,0,0.0,3.0,3.0,4.0,6.0,3.0,3.0,4.0,6.0
DEJAVU,valence,A_LOPO,0,P009,5,5,1.0,1.0,0,0.0,3.0,6.0,5.6,7.0,3.0,6.0,5.6,7.0
DEJAVU,valence,A_LOPO,0,P010,3,3,1.0,1.0,0,0.0,3.0,3.0,5.0,9.0,3.0,3.0,5.0,9.0
DEJAVU,valence,A_LOPO,0,P011,6,6,1.0,1.0,0,0.0,3.0,5.5,5.666666666666667,9.0,3.0,5.5,5.666666666666667,9.0
DEJAVU,valence,A_LOPO,0,P013,1,1,1.0,1.0,0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
DEJAVU,valence,A_LOPO,0,P014,2,2,1.0,1.0,0,0.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0
DEJAVU,valence,A_LOPO,0,P016,3,3,1.0,1.0,0,0.0,6.0,7.0,7.333333333333333,9.0,6.0,7.0,7.333333333333333,9.0
DEJAVU,valence,A_LOPO,0,P017,5,5,0.6,0.6,2,0.4,0.0,1.0,2.6,7.0,0.0,1.0,2.6,7.0
DEJAVU,valence,A_LOPO,0,P018,3,3,1.0,1.0,0,0.0,5.0,6.0,6.666666666666667,9.0,5.0,6.0,6.666666666666667,9.0
DEJAVU,valence,A_LOPO,0,P021,2,2,1.0,1.0,0,0.0,4.0,4.5,4.5,5.0,4.0,4.5,4.5,5.0
DEJAVU,valence,A_LOPO,0,P022,3,3,1.0,1.0,0,0.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0
DEJAVU,valence,A_LOPO,0,P023,3,3,1.0,1.0,0,0.0,6.0,7.0,6.666666666666667,7.0,6.0,7.0,6.666666666666667,7.0
DEJAVU,valence,A_LOPO,0,P024,3,3,1.0,1.0,0,0.0,5.0,7.0,7.0,9.0,5.0,7.0,7.0,9.0
DEJAVU,valence,A_LOPO,0,P025,2,2,1.0,1.0,0,0.0,5.0,5.5,5.5,6.0,5.0,5.5,5.5,6.0
DEJAVU,valence,A_LOPO,0,P026,2,2,1.0,1.0,0,0.0,6.0,6.5,6.5,7.0,6.0,6.5,6.5,7.0
DEJAVU,valence,A_LOPO,0,P027,2,2,1.0,1.0,0,0.0,4.0,6.5,6.5,9.0,4.0,6.5,6.5,9.0
DEJAVU,valence,A_LOPO,0,P028,2,2,1.0,1.0,0,0.0,7.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0
DEJAVU,valence,B_SUBJECT_FOLD,0,1,29,11,1.0,1.0,0,0.0,1.0,4.0,3.6363636363636362,6.0,1.0,4.0,3.6363636363636362,6.0
DEJAVU,valence,B_SUBJECT_FOLD,0,2,30,15,0.8,0.6666666666666666,6,0.2,0.0,3.0,2.6666666666666665,7.0,0.0,3.0,2.6666666666666665,7.0
DEJAVU,valence,B_SUBJECT_FOLD,0,3,16,9,1.0,1.0,0,0.0,3.0,4.0,4.666666666666667,7.0,3.0,4.0,4.666666666666667,7.0
DEJAVU,valence,B_SUBJECT_FOLD,1,1,27,12,0.9259259259259259,0.8333333333333334,2,0.07407407407407407,0.0,3.5,2.8333333333333335,6.0,0.0,3.5,2.8333333333333335,6.0
DEJAVU,valence,B_SUBJECT_FOLD,1,2,19,11,1.0,1.0,0,0.0,2.0,4.0,4.545454545454546,8.0,2.0,4.0,4.545454545454546,8.0
DEJAVU,valence,B_SUBJECT_FOLD,1,3,29,12,0.9310344827586207,0.8333333333333334,2,0.06896551724137931,0.0,3.0,3.0,6.0,0.0,3.0,3.0,6.0
DEJAVU,valence,B_SUBJECT_FOLD,2,1,23,16,0.7391304347826086,0.6875,6,0.2608695652173913,0.0,3.5,3.25,7.0,0.0,3.5,3.25,7.0
DEJAVU,valence,B_SUBJECT_FOLD,2,2,27,11,1.0,1.0,0,0.0,2.0,4.0,3.8181818181818183,6.0,2.0,4.0,3.8181818181818183,6.0
DEJAVU,valence,B_SUBJECT_FOLD,2,3,25,11,1.0,1.0,0,0.0,2.0,4.0,4.0,7.0,2.0,4.0,4.0,7.0
DEJAVU,valence,B_SUBJECT_FOLD,3,1,27,14,0.9259259259259259,0.8571428571428571,2,0.07407407407407407,0.0,3.0,3.2857142857142856,9.0,0.0,3.0,3.2857142857142856,9.0
DEJAVU,valence,B_SUBJECT_FOLD,3,2,18,10,1.0,1.0,0,0.0,3.0,5.0,4.7,6.0,3.0,5.0,4.7,6.0
DEJAVU,valence,B_SUBJECT_FOLD,3,3,30,14,0.9333333333333333,0.8571428571428571,2,0.06666666666666667,0.0,3.5,3.0714285714285716,6.0,0.0,3.5,3.0714285714285716,6.0
DEJAVU,valence,B_SUBJECT_FOLD,4,1,24,11,1.0,1.0,0,0.0,2.0,4.0,4.090909090909091,6.0,2.0,4.0,4.090909090909091,6.0
DEJAVU,valence,B_SUBJECT_FOLD,4,2,30,14,0.9333333333333333,0.8571428571428571,2,0.06666666666666667,0.0,3.5,3.0714285714285716,6.0,0.0,3.5,3.0714285714285716,6.0
DEJAVU,valence,B_SUBJECT_FOLD,4,3,21,13,0.9047619047619048,0.8461538461538461,2,0.09523809523809523,0.0,3.0,3.230769230769231,6.0,0.0,3.0,3.230769230769231,6.0
IDARE,arousal,A_LOPO,0,sbj_P_01,29,29,1.0,1.0,0,0.0,48.0,56.0,55.44827586206897,62.0,48.0,56.0,55.44827586206897,62.0
IDARE,arousal,A_LOPO,0,sbj_P_02,29,29,1.0,1.0,0,0.0,48.0,56.0,55.41379310344828,62.0,48.0,56.0,55.41379310344828,62.0
IDARE,arousal,A_LOPO,0,sbj_P_03,27,27,1.0,1.0,0,0.0,48.0,55.0,55.2962962962963,62.0,48.0,55.0,55.2962962962963,62.0
IDARE,arousal,A_LOPO,0,sbj_P_05,30,30,1.0,1.0,0,0.0,48.0,55.0,55.13333333333333,62.0,48.0,55.0,55.13333333333333,62.0
IDARE,arousal,A_LOPO,0,sbj_P_06,32,32,1.0,1.0,0,0.0,48.0,55.5,55.21875,62.0,48.0,55.5,55.21875,62.0
IDARE,arousal,A_LOPO,0,sbj_P_07,28,28,1.0,1.0,0,0.0,48.0,55.5,55.5,62.0,48.0,55.5,55.5,62.0
IDARE,arousal,A_LOPO,0,sbj_P_08,29,29,1.0,1.0,0,0.0,48.0,56.0,55.62068965517241,62.0,48.0,56.0,55.62068965517241,62.0
IDARE,arousal,A_LOPO,0,sbj_P_09,27,27,1.0,1.0,0,0.0,48.0,56.0,55.74074074074074,62.0,48.0,56.0,55.74074074074074,62.0
IDARE,arousal,A_LOPO,0,sbj_P_10,30,30,1.0,1.0,0,0.0,48.0,55.5,55.166666666666664,62.0,48.0,55.5,55.166666666666664,62.0
IDARE,arousal,A_LOPO,0,sbj_P_11,24,24,1.0,1.0,0,0.0,48.0,56.5,55.916666666666664,62.0,48.0,56.5,55.916666666666664,62.0
IDARE,arousal,A_LOPO,0,sbj_P_12,26,26,1.0,1.0,0,0.0,48.0,56.0,55.42307692307692,62.0,48.0,56.0,55.42307692307692,62.0
IDARE,arousal,A_LOPO,0,sbj_P_13,30,30,1.0,1.0,0,0.0,48.0,55.5,55.2,62.0,48.0,55.5,55.2,62.0
IDARE,arousal,A_LOPO,0,sbj_P_14,28,28,1.0,1.0,0,0.0,48.0,56.0,55.5,62.0,48.0,56.0,55.5,62.0
IDARE,arousal,A_LOPO,0,sbj_P_15,29,29,1.0,1.0,0,0.0,48.0,56.0,55.37931034482759,62.0,48.0,56.0,55.37931034482759,62.0
IDARE,arousal,A_LOPO,0,sbj_P_16,30,30,1.0,1.0,0,0.0,48.0,55.5,55.06666666666667,62.0,48.0,55.5,55.06666666666667,62.0
IDARE,arousal,A_LOPO,0,sbj_P_17,31,31,1.0,1.0,0,0.0,48.0,56.0,55.354838709677416,62.0,48.0,56.0,55.354838709677416,62.0
IDARE,arousal,A_LOPO,0,sbj_P_18,30,30,1.0,1.0,0,0.0,48.0,56.0,55.6,62.0,48.0,56.0,55.6,62.0
IDARE,arousal,A_LOPO,0,sbj_P_19,27,27,1.0,1.0,0,0.0,48.0,56.0,55.25925925925926,62.0,48.0,56.0,55.25925925925926,62.0
IDARE,arousal,A_LOPO,0,sbj_P_20,31,31,1.0,1.0,0,0.0,48.0,56.0,55.354838709677416,62.0,48.0,56.0,55.354838709677416,62.0
IDARE,arousal,A_LOPO,0,sbj_P_21,30,30,1.0,1.0,0,0.0,48.0,55.5,55.166666666666664,62.0,48.0,55.5,55.166666666666664,62.0
IDARE,arousal,A_LOPO,0,sbj_P_22,29,29,1.0,1.0,0,0.0,48.0,56.0,55.62068965517241,62.0,48.0,56.0,55.62068965517241,62.0
IDARE,arousal,A_LOPO,0,sbj_P_23,26,26,1.0,1.0,0,0.0,51.0,56.0,56.23076923076923,62.0,51.0,56.0,56.23076923076923,62.0
IDARE,arousal,A_LOPO,0,sbj_P_24,31,31,1.0,1.0,0,0.0,48.0,56.0,55.45161290322581,62.0,48.0,56.0,55.45161290322581,62.0
IDARE,arousal,A_LOPO,0,sbj_P_25,31,31,1.0,1.0,0,0.0,48.0,56.0,55.45161290322581,62.0,48.0,56.0,55.45161290322581,62.0
IDARE,arousal,A_LOPO,0,sbj_P_26,30,30,1.0,1.0,0,0.0,48.0,56.0,55.4,62.0,48.0,56.0,55.4,62.0
