dataset,task,canonical_stimulus_id,retained_n,n_unique_participants,low_count,high_count,empirical_high_probability,smoothed_high_probability,majority_agreement_fraction,conditional_entropy_bits,abs_distance_from_half
IDARE,arousal,idare_stim_angry_face_1,50,50,36,14,0.28,0.28431372549019607,0.72,0.8554508105601306,0.21999999999999997
IDARE,arousal,idare_stim_beach_1,62,62,56,6,0.0967741935483871,0.10317460317460317,0.9032258064516129,0.4586858162005403,0.4032258064516129
IDARE,arousal,idare_stim_depressed_pose_4,53,53,42,11,0.20754716981132076,0.21296296296296297,0.7924528301886793,0.7367680100024783,0.29245283018867924
IDARE,arousal,idare_stim_dog_18,49,49,38,11,0.22448979591836735,0.23,0.7755102040816326,0.7682814090975242,0.2755102040816326
IDARE,arousal,idare_stim_dog_26,52,52,10,42,0.8076923076923077,0.8018867924528302,0.8076923076923077,0.7062740891876007,0.3076923076923077
IDARE,arousal,idare_stim_dog_6,58,58,47,11,0.1896551724137931,0.19491525423728814,0.8103448275862069,0.7007495497162062,0.3103448275862069
IDARE,arousal,idare_stim_dummy_1,57,57,14,43,0.7543859649122807,0.75,0.7543859649122807,0.8042522359016422,0.2543859649122807
IDARE,arousal,idare_stim_flowers_6,54,54,50,4,0.07407407407407407,0.08181818181818182,0.9259259259259259,0.3809465857053901,0.42592592592592593
IDARE,arousal,idare_stim_garbage_dump_6,52,52,34,18,0.34615384615384615,0.3490566037735849,0.6538461538461539,0.9305861291319928,0.15384615384615385
IDARE,arousal,idare_stim_lake_12,63,63,52,11,0.1746031746031746,0.1796875,0.8253968253968254,0.668127333843614,0.3253968253968254
IDARE,arousal,idare_stim_lake_3,58,58,55,3,0.05172413793103448,0.059322033898305086,0.9482758620689655,0.29367630985136955,0.4482758620689655
IDARE,arousal,idare_stim_miserable_pose_3,56,56,11,45,0.8035714285714286,0.7982456140350878,0.8035714285714286,0.7147274731317892,0.3035714285714286
IDARE,arousal,idare_stim_pinecone_1,58,58,55,3,0.05172413793103448,0.059322033898305086,0.9482758620689655,0.29367630985136955,0.4482758620689655
IDARE,arousal,idare_stim_snow_1,57,57,52,5,0.08771929824561403,0.09482758620689655,0.9122807017543859,0.4288109647301171,0.41228070175438597
IDARE,arousal,idare_stim_tumor_1,57,57,5,52,0.9122807017543859,0.9051724137931034,0.9122807017543859,0.42881096473011726,0.4122807017543859
IDARE,arousal,idare_stim_yarn_1,60,60,56,4,0.06666666666666667,0.07377049180327869,0.9333333333333333,0.35335933502142136,0.43333333333333335
IDARE,valence,idare_stim_1441,61,61,1,60,0.9836065573770492,0.9758064516129032,0.9836065573770492,0.12068101401352391,0.48360655737704916
IDARE,valence,idare_stim_1750,59,59,0,59,1.0,0.9916666666666667,1.0,0.0,0.5
IDARE,valence,idare_stim_2314,57,57,2,55,0.9649122807017544,0.9568965517241379,0.9649122807017544,0.2192973081321754,0.4649122807017544
IDARE,valence,idare_stim_2491,32,32,20,12,0.375,0.3787878787878788,0.625,0.954434002924965,0.125
IDARE,valence,idare_stim_3053,61,61,61,0,0.0,0.008064516129032258,1.0,0.0,0.5
IDARE,valence,idare_stim_3063,61,61,61,0,0.0,0.008064516129032258,1.0,0.0,0.5
IDARE,valence,idare_stim_3080,59,59,59,0,0.0,0.008333333333333333,1.0,0.0,0.5
IDARE,valence,idare_stim_3170,62,62,62,0,0.0,0.007936507936507936,1.0,0.0,0.5
IDARE,valence,idare_stim_4220,49,49,2,47,0.9591836734693877,0.95,0.9591836734693877,0.24602257822033174,0.4591836734693877
IDARE,valence,idare_stim_5760,54,54,0,54,1.0,0.990909090909091,1.0,0.0,0.5
IDARE,valence,idare_stim_8080,40,40,6,34,0.85,0.8414634146341463,0.85,0.6098403047164005,0.35
IDARE,valence,idare_stim_8370,56,56,5,51,0.9107142857142857,0.9035087719298246,0.9107142857142857,0.43408112000433474,0.4107142857142857
IDARE,valence,idare_stim_8492,55,55,4,51,0.9272727272727272,0.9196428571428571,0.9272727272727272,0.3760198509692729,0.42727272727272725
IDARE,valence,idare_stim_9220,59,59,59,0,0.0,0.008333333333333333,1.0,0.0,0.5
IDARE,valence,idare_stim_9331,52,52,46,6,0.11538461538461539,0.12264150943396226,0.8846153846153846,0.5159469300074474,0.3846153846153846
IDARE,valence,idare_stim_9360,38,38,33,5,0.13157894736842105,0.14102564102564102,0.868421052631579,0.5617526078313282,0.368421052631579
IDARE,valence,idare_stim_angry_face_1,33,33,30,3,0.09090909090909091,0.10294117647058823,0.9090909090909091,0.4394969869215134,0.40909090909090906
IDARE,valence,idare_stim_beach_1,60,60,1,59,0.9833333333333333,0.9754098360655737,0.9833333333333333,0.12229159706937494,0.4833333333333333
IDARE,valence,idare_stim_depressed_pose_4,41,41,40,1,0.024390243902439025,0.03571428571428571,0.975609756097561,0.1654270339962668,0.47560975609756095
IDARE,valence,idare_stim_dog_18,62,62,2,60,0.967741935483871,0.9603174603174603,0.967741935483871,0.20559250818508293,0.467741935483871
IDARE,valence,idare_stim_dog_26,63,63,63,0,0.0,0.0078125,1.0,0.0,0.5
IDARE,valence,idare_stim_dog_6,62,62,0,62,1.0,0.9920634920634921,1.0,0.0,0.5
IDARE,valence,idare_stim_dummy_1,61,61,61,0,0.0,0.008064516129032258,1.0,0.0,0.5
IDARE,valence,idare_stim_flowers_6,49,49,0,49,1.0,0.99,1.0,0.0,0.5
IDARE,valence,idare_stim_garbage_dump_6,55,55,55,0,0.0,0.008928571428571428,1.0,0.0,0.5
IDARE,valence,idare_stim_lake_12,62,62,1,61,0.9838709677419355,0.9761904761904762,0.9838709677419355,0.1191160266556483,0.4838709677419355
IDARE,valence,idare_stim_lake_3,49,49,8,41,0.8367346938775511,0.83,0.8367346938775511,0.6420642892306891,0.33673469387755106
IDARE,valence,idare_stim_miserable_pose_3,63,63,63,0,0.0,0.0078125,1.0,0.0,0.5
IDARE,valence,idare_stim_pinecone_1,29,29,3,26,0.896551724137931,0.8833333333333333,0.896551724137931,0.4798320236161285,0.39655172413793105
IDARE,valence,idare_stim_snow_1,45,45,1,44,0.9777777777777777,0.967391304347826,0.9777777777777777,0.15374218032876202,0.47777777777777775
IDARE,valence,idare_stim_tumor_1,53,53,53,0,0.0,0.009259259259259259,1.0,0.0,0.5
IDARE,valence,idare_stim_yarn_1,25,25,10,15,0.6,0.5961538461538461,0.6,0.9709505944546686,0.09999999999999998
