objective_run_id,selected_formulation,patch_candidate_id,feature_set_id,model,training_category,modality,task,fold,train_subjects,val_subjects,include_predictions,authorized_status
40,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
41,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
42,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
43,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
44,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
45,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
46,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
47,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
48,within_subject_pairwise_affect_preference_ranking_v1,CONTROL_robust_scaled_current_summary_diff_control,robust_scaled_current_summary_diff_control,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
49,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,random_balanced_no_training,no_training_control,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
50,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,random_balanced_no_training,no_training_control,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
51,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,random_balanced_no_training,no_training_control,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
52,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,random_balanced_no_training,no_training_control,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
53,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,random_balanced_no_training,no_training_control,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
54,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,random_balanced_no_training,no_training_control,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
55,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,majority_train_label_no_training,no_training_control,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
56,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,majority_train_label_no_training,no_training_control,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
57,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,majority_train_label_no_training,no_training_control,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
58,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,majority_train_label_no_training,no_training_control,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
59,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,majority_train_label_no_training,no_training_control,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
60,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,majority_train_label_no_training,no_training_control,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
61,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
62,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
63,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
64,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
65,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
66,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
67,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
68,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
69,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
70,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
71,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
72,within_subject_pairwise_affect_preference_ranking_v1,PATCH_C_eeg_arousal_bandpower_only_control_v1,bandpower_only_control_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
73,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,random_balanced_no_training,no_training_control,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
74,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,random_balanced_no_training,no_training_control,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
75,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,random_balanced_no_training,no_training_control,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
76,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,random_balanced_no_training,no_training_control,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
77,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,random_balanced_no_training,no_training_control,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
78,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,random_balanced_no_training,no_training_control,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
79,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,majority_train_label_no_training,no_training_control,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
80,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,majority_train_label_no_training,no_training_control,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
81,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,majority_train_label_no_training,no_training_control,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
82,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,majority_train_label_no_training,no_training_control,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
83,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,majority_train_label_no_training,no_training_control,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
84,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,majority_train_label_no_training,no_training_control,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
85,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
86,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
87,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
88,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
89,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
90,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,ridge_classifier_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
91,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,1,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
92,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,2,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
93,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,3,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
94,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,4,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
95,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,5,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
96,within_subject_pairwise_affect_preference_ranking_v1,PATCH_A_eeg_arousal_bandpower_temporal_stats_v1,bandpower_temporal_stats_v1,logistic_regression_pairwise_feature_patch,minimal_classical_pairwise_patch,EEG,arousal,6,fold_local_train_subjects,fold_heldout_subjects,yes,matrix_defined_not_yet_authorized_for_training
