objective_run_id,planned_run_id,model,modality,task,fold,target,authorized_now,requires_prior_objective,notes,objective,selected_primary_formulation,training_category,blocked_from_expansion
26,26,ridge_regression_summary_features,EEG,valence,2,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
27,27,ridge_regression_summary_features,EEG,valence,3,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
28,28,ridge_regression_summary_features,EEG,valence,4,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
29,29,ridge_regression_summary_features,EEG,valence,5,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
30,30,ridge_regression_summary_features,EEG,valence,6,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
31,31,ridge_regression_summary_features,EEG,arousal,1,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
32,32,ridge_regression_summary_features,EEG,arousal,2,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
33,33,ridge_regression_summary_features,EEG,arousal,3,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
34,34,ridge_regression_summary_features,EEG,arousal,4,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
35,35,ridge_regression_summary_features,EEG,arousal,5,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
36,36,ridge_regression_summary_features,EEG,arousal,6,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
37,37,ridge_regression_summary_features,EMG,valence,1,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
38,38,ridge_regression_summary_features,EMG,valence,2,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
39,39,ridge_regression_summary_features,EMG,valence,3,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
40,40,ridge_regression_summary_features,EMG,valence,4,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
41,41,ridge_regression_summary_features,EMG,valence,5,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
42,42,ridge_regression_summary_features,EMG,valence,6,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
43,43,ridge_regression_summary_features,EMG,arousal,1,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
44,44,ridge_regression_summary_features,EMG,arousal,2,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
45,45,ridge_regression_summary_features,EMG,arousal,3,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
46,46,ridge_regression_summary_features,EMG,arousal,4,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
47,47,ridge_regression_summary_features,EMG,arousal,5,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
48,48,ridge_regression_summary_features,EMG,arousal,6,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
