run_id,modality,task,label_policy,da_policy,fold_id,train_subjects,val_subjects,seed,recipe
34,EEG,valence,midpoint_as_high,E0_none_baseline,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
35,EEG,valence,midpoint_as_high,E0_none_baseline,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
36,EEG,valence,midpoint_as_high,E0_none_baseline,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
37,EEG,valence,midpoint_as_high,E1_additive_gaussian_noise_weak,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
38,EEG,valence,midpoint_as_high,E1_additive_gaussian_noise_weak,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
39,EEG,valence,midpoint_as_high,E1_additive_gaussian_noise_weak,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
40,EEG,valence,midpoint_as_high,E1_additive_gaussian_noise_weak,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
41,EEG,valence,midpoint_as_high,E1_additive_gaussian_noise_weak,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
42,EEG,valence,midpoint_as_high,E1_additive_gaussian_noise_weak,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
43,EEG,valence,midpoint_as_high,E2_additive_gaussian_noise_medium,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
44,EEG,valence,midpoint_as_high,E2_additive_gaussian_noise_medium,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
45,EEG,valence,midpoint_as_high,E2_additive_gaussian_noise_medium,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
46,EEG,valence,midpoint_as_high,E2_additive_gaussian_noise_medium,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
47,EEG,valence,midpoint_as_high,E2_additive_gaussian_noise_medium,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
48,EEG,valence,midpoint_as_high,E2_additive_gaussian_noise_medium,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
49,EEG,valence,midpoint_as_high,E3_amplitude_scaling,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
50,EEG,valence,midpoint_as_high,E3_amplitude_scaling,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
51,EEG,valence,midpoint_as_high,E3_amplitude_scaling,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
52,EEG,valence,midpoint_as_high,E3_amplitude_scaling,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
53,EEG,valence,midpoint_as_high,E3_amplitude_scaling,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
54,EEG,valence,midpoint_as_high,E3_amplitude_scaling,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
55,EEG,valence,midpoint_as_high,E4_time_channel_masking_or_dropout,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
56,EEG,valence,midpoint_as_high,E4_time_channel_masking_or_dropout,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
57,EEG,valence,midpoint_as_high,E4_time_channel_masking_or_dropout,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
58,EEG,valence,midpoint_as_high,E4_time_channel_masking_or_dropout,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
59,EEG,valence,midpoint_as_high,E4_time_channel_masking_or_dropout,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
60,EEG,valence,midpoint_as_high,E4_time_channel_masking_or_dropout,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
61,EMG,arousal,midpoint_as_high,M0_none_baseline,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
62,EMG,arousal,midpoint_as_high,M0_none_baseline,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
63,EMG,arousal,midpoint_as_high,M0_none_baseline,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
64,EMG,arousal,midpoint_as_high,M0_none_baseline,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
65,EMG,arousal,midpoint_as_high,M0_none_baseline,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
66,EMG,arousal,midpoint_as_high,M0_none_baseline,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
67,EMG,arousal,midpoint_as_high,M1_feature_gaussian_jitter_weak,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
68,EMG,arousal,midpoint_as_high,M1_feature_gaussian_jitter_weak,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
69,EMG,arousal,midpoint_as_high,M1_feature_gaussian_jitter_weak,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
70,EMG,arousal,midpoint_as_high,M1_feature_gaussian_jitter_weak,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
71,EMG,arousal,midpoint_as_high,M1_feature_gaussian_jitter_weak,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
72,EMG,arousal,midpoint_as_high,M1_feature_gaussian_jitter_weak,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
73,EMG,arousal,midpoint_as_high,M2_feature_gaussian_jitter_medium,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
74,EMG,arousal,midpoint_as_high,M2_feature_gaussian_jitter_medium,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
75,EMG,arousal,midpoint_as_high,M2_feature_gaussian_jitter_medium,3,1 2 3 5 6 7 8 11 12 13 14 15 16 17 18 19 21 22 23 24 25 26 27 28 29 30 31 32 33 34 36 37 38 40 41 42 43 44 46 49 50 53 54 55 56 58 59 60 61 63 64 65,9 10 20 35 39 45 47 48 52 57 62,11,ce_class_weighted
76,EMG,arousal,midpoint_as_high,M2_feature_gaussian_jitter_medium,4,2 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 30 31 32 33 34 35 37 38 39 41 43 44 45 46 47 48 49 50 52 54 56 57 58 59 60 62 63 64 65,1 3 19 25 36 40 42 53 55 61,11,ce_class_weighted
77,EMG,arousal,midpoint_as_high,M2_feature_gaussian_jitter_medium,5,1 2 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 25 26 28 31 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 52 53 54 55 57 58 59 61 62 63 65,14 23 24 27 29 30 37 56 60 64,11,ce_class_weighted
78,EMG,arousal,midpoint_as_high,M2_feature_gaussian_jitter_medium,6,1 2 3 5 6 7 8 9 10 11 13 14 17 19 20 23 24 25 26 27 28 29 30 31 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 52 53 54 55 56 57 58 59 60 61 62 63 64 65,12 15 16 18 21 22 32 33 41 50,11,ce_class_weighted
79,EMG,arousal,midpoint_as_high,M3_feature_scaling,1,1 2 3 5 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 29 30 31 32 33 34 35 36 37 39 40 41 42 44 45 46 47 48 49 50 52 53 55 56 57 60 61 62 63 64,6 7 8 13 28 38 43 54 58 59 65,11,ce_class_weighted
80,EMG,arousal,midpoint_as_high,M3_feature_scaling,2,1 3 6 7 8 9 10 12 13 14 15 16 18 19 20 21 22 23 24 25 27 28 29 30 32 33 35 36 37 38 39 40 41 42 43 45 47 48 50 52 53 54 55 56 57 58 59 60 61 62 64 65,2 5 11 17 26 31 34 44 46 49 63,11,ce_class_weighted
