modality,task,formulation,subject_id,fold_id,rating_column,n_total,n_nonmissing,n_valid,retention_fraction,n_low,n_high,prop_high,balance_gap_abs,rating_mean,rating_std,rating_min,rating_max,subject_statistic,threshold_low,threshold_high,n_ties_or_discarded,n_pairs_total,n_pairs_usable_unequal,pairwise_usable_fraction,global_median_reference,global_mean_reference
EEG,valence,subject_zscore_sign,9,3,valence_score,32,32,32.0,1.0,12.0,20.0,0.625,0.125,5.40625,2.5600216673887743,1.0,9.0,5.40625,5.40625,5.40625,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,9,3,valence_score,32,32,24.0,0.75,11.0,13.0,0.5416666666666666,0.04166666666666663,5.40625,2.5600216673887743,1.0,9.0,6.0,4.333333333333332,7.0,8,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,9,3,valence_score,32,32,,,,,,0.0,5.40625,2.5600216673887743,1.0,9.0,6.0,,,72,496.0,424.0,0.8548387096774194,5.0,4.911210317460317
EEG,valence,subject_median_split,10,3,valence_score,32,32,26.0,0.8125,14.0,12.0,0.46153846153846156,0.038461538461538436,4.875,2.4206145913796355,1.0,9.0,5.0,5.0,5.0,6,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,10,3,valence_score,32,32,32.0,1.0,14.0,18.0,0.5625,0.0625,4.875,2.4206145913796355,1.0,9.0,4.875,4.875,4.875,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,10,3,valence_score,32,32,26.0,0.8125,14.0,12.0,0.46153846153846156,0.038461538461538436,4.875,2.4206145913796355,1.0,9.0,5.0,4.0,6.0,6,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,10,3,valence_score,32,32,,,,,,0.0,4.875,2.4206145913796355,1.0,9.0,5.0,,,50,496.0,446.0,0.8991935483870968,5.0,4.911210317460317
EEG,valence,subject_median_split,11,2,valence_score,32,32,28.0,0.875,14.0,14.0,0.5,0.0,4.8125,3.136852522832401,1.0,9.0,5.0,5.0,5.0,4,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,11,2,valence_score,32,32,32.0,1.0,14.0,18.0,0.5625,0.0625,4.8125,3.136852522832401,1.0,9.0,4.8125,4.8125,4.8125,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,11,2,valence_score,32,32,26.0,0.8125,12.0,14.0,0.5384615384615384,0.038461538461538436,4.8125,3.136852522832401,1.0,9.0,5.0,2.0,6.0,6,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,11,2,valence_score,32,32,,,,,,0.0,4.8125,3.136852522832401,1.0,9.0,5.0,,,76,496.0,420.0,0.8467741935483871,5.0,4.911210317460317
EEG,valence,subject_median_split,12,6,valence_score,32,32,22.0,0.6875,8.0,14.0,0.6363636363636364,0.13636363636363635,5.15625,1.88926862502398,1.0,9.0,5.0,5.0,5.0,10,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,12,6,valence_score,32,32,32.0,1.0,18.0,14.0,0.4375,0.0625,5.15625,1.88926862502398,1.0,9.0,5.15625,5.15625,5.15625,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,12,6,valence_score,32,32,32.0,1.0,18.0,14.0,0.4375,0.0625,5.15625,1.88926862502398,1.0,9.0,5.0,5.0,6.0,0,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,12,6,valence_score,32,32,,,,,,0.0,5.15625,1.88926862502398,1.0,9.0,5.0,,,80,496.0,416.0,0.8387096774193549,5.0,4.911210317460317
EEG,valence,subject_median_split,13,1,valence_score,32,32,24.0,0.75,13.0,11.0,0.4583333333333333,0.041666666666666685,4.4375,1.818954026356906,1.0,8.0,5.0,5.0,5.0,8,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,13,1,valence_score,32,32,32.0,1.0,13.0,19.0,0.59375,0.09375,4.4375,1.818954026356906,1.0,8.0,4.4375,4.4375,4.4375,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,13,1,valence_score,32,32,24.0,0.75,13.0,11.0,0.4583333333333333,0.041666666666666685,4.4375,1.818954026356906,1.0,8.0,5.0,4.0,5.666666666666664,8,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,13,1,valence_score,32,32,,,,,,0.0,4.4375,1.818954026356906,1.0,8.0,5.0,,,86,496.0,410.0,0.8266129032258065,5.0,4.911210317460317
EEG,valence,subject_median_split,14,5,valence_score,32,32,23.0,0.71875,10.0,13.0,0.5652173913043478,0.06521739130434778,4.59375,2.234101818964391,1.0,8.0,5.0,5.0,5.0,9,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,14,5,valence_score,32,32,32.0,1.0,10.0,22.0,0.6875,0.1875,4.59375,2.234101818964391,1.0,8.0,4.59375,4.59375,4.59375,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,14,5,valence_score,32,32,32.0,1.0,19.0,13.0,0.40625,0.09375,4.59375,2.234101818964391,1.0,8.0,5.0,5.0,6.0,0,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,14,5,valence_score,32,32,,,,,,0.0,4.59375,2.234101818964391,1.0,8.0,5.0,,,87,496.0,409.0,0.8245967741935484,5.0,4.911210317460317
EEG,valence,subject_median_split,15,6,valence_score,32,32,23.0,0.71875,13.0,10.0,0.43478260869565216,0.06521739130434784,4.75,1.75,2.0,8.0,5.0,5.0,5.0,9,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,15,6,valence_score,32,32,32.0,1.0,13.0,19.0,0.59375,0.09375,4.75,1.75,2.0,8.0,4.75,4.75,4.75,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,15,6,valence_score,32,32,32.0,1.0,13.0,19.0,0.59375,0.09375,4.75,1.75,2.0,8.0,5.0,4.0,5.0,0,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,15,6,valence_score,32,32,,,,,,0.0,4.75,1.75,2.0,8.0,5.0,,,72,496.0,424.0,0.8548387096774194,5.0,4.911210317460317
EEG,valence,subject_median_split,16,6,valence_score,32,32,26.0,0.8125,13.0,13.0,0.5,0.0,4.53125,1.9997558444720196,1.0,8.0,5.0,5.0,5.0,6,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,16,6,valence_score,32,32,32.0,1.0,13.0,19.0,0.59375,0.09375,4.53125,1.9997558444720196,1.0,8.0,4.53125,4.53125,4.53125,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,16,6,valence_score,32,32,24.0,0.75,11.0,13.0,0.5416666666666666,0.04166666666666663,4.53125,1.9997558444720196,1.0,8.0,5.0,3.333333333333332,6.0,8,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,16,6,valence_score,32,32,,,,,,0.0,4.53125,1.9997558444720196,1.0,8.0,5.0,,,73,496.0,423.0,0.8528225806451613,5.0,4.911210317460317
EEG,valence,subject_median_split,17,2,valence_score,32,32,27.0,0.84375,13.0,14.0,0.5185185185185185,0.01851851851851849,5.15625,2.623325358681229,1.0,9.0,5.0,5.0,5.0,5,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,17,2,valence_score,32,32,32.0,1.0,18.0,14.0,0.4375,0.0625,5.15625,2.623325358681229,1.0,9.0,5.15625,5.15625,5.15625,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,17,2,valence_score,32,32,24.0,0.75,13.0,11.0,0.4583333333333333,0.041666666666666685,5.15625,2.623325358681229,1.0,9.0,5.0,4.0,6.666666666666664,8,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,17,2,valence_score,32,32,,,,,,0.0,5.15625,2.623325358681229,1.0,9.0,5.0,,,56,496.0,440.0,0.8870967741935484,5.0,4.911210317460317
EEG,valence,subject_median_split,18,6,valence_score,32,32,25.0,0.78125,12.0,13.0,0.52,0.020000000000000018,5.34375,2.857111467461499,1.0,9.0,5.0,5.0,5.0,7,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,18,6,valence_score,32,32,32.0,1.0,19.0,13.0,0.40625,0.09375,5.34375,2.857111467461499,1.0,9.0,5.34375,5.34375,5.34375,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,18,6,valence_score,32,32,23.0,0.71875,11.0,12.0,0.5217391304347826,0.021739130434782594,5.34375,2.857111467461499,1.0,9.0,5.0,3.333333333333332,7.0,9,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,18,6,valence_score,32,32,,,,,,0.0,5.34375,2.857111467461499,1.0,9.0,5.0,,,75,496.0,421.0,0.8487903225806451,5.0,4.911210317460317
EEG,valence,subject_median_split,19,4,valence_score,32,32,23.0,0.71875,9.0,14.0,0.6086956521739131,0.10869565217391308,5.09375,2.005607373715005,1.0,8.0,5.0,5.0,5.0,9,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,19,4,valence_score,32,32,32.0,1.0,18.0,14.0,0.4375,0.0625,5.09375,2.005607373715005,1.0,8.0,5.09375,5.09375,5.09375,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,19,4,valence_score,32,32,32.0,1.0,18.0,14.0,0.4375,0.0625,5.09375,2.005607373715005,1.0,8.0,5.0,5.0,6.0,0,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,19,4,valence_score,32,32,,,,,,0.0,5.09375,2.005607373715005,1.0,8.0,5.0,,,74,496.0,422.0,0.8508064516129032,5.0,4.911210317460317
EEG,valence,subject_median_split,20,3,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,4.46875,2.358288243090738,1.0,8.0,4.5,4.5,4.5,0,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,20,3,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,4.46875,2.358288243090738,1.0,8.0,4.46875,4.46875,4.46875,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,20,3,valence_score,32,32,22.0,0.6875,11.0,11.0,0.5,0.0,4.46875,2.358288243090738,1.0,8.0,4.5,3.333333333333332,5.666666666666664,10,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,20,3,valence_score,32,32,,,,,,0.0,4.46875,2.358288243090738,1.0,8.0,4.5,,,54,496.0,442.0,0.8911290322580645,5.0,4.911210317460317
EEG,valence,subject_median_split,21,6,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,4.75,2.850438562747845,1.0,9.0,4.5,4.5,4.5,0,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,21,6,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,4.75,2.850438562747845,1.0,9.0,4.75,4.75,4.75,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,21,6,valence_score,32,32,28.0,0.875,16.0,12.0,0.42857142857142855,0.07142857142857145,4.75,2.850438562747845,1.0,9.0,4.5,4.0,7.0,4,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,21,6,valence_score,32,32,,,,,,0.0,4.75,2.850438562747845,1.0,9.0,4.5,,,66,496.0,430.0,0.8669354838709677,5.0,4.911210317460317
EEG,valence,subject_median_split,22,6,valence_score,32,32,21.0,0.65625,10.0,11.0,0.5238095238095238,0.023809523809523836,4.625,1.9324531042175384,1.0,8.0,5.0,5.0,5.0,11,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,22,6,valence_score,32,32,32.0,1.0,10.0,22.0,0.6875,0.1875,4.625,1.9324531042175384,1.0,8.0,4.625,4.625,4.625,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,22,6,valence_score,32,32,32.0,1.0,21.0,11.0,0.34375,0.15625,4.625,1.9324531042175384,1.0,8.0,5.0,5.0,5.666666666666664,0,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,22,6,valence_score,32,32,,,,,,0.0,4.625,1.9324531042175384,1.0,8.0,5.0,,,92,496.0,404.0,0.8145161290322581,5.0,4.911210317460317
EEG,valence,subject_median_split,23,5,valence_score,32,32,26.0,0.8125,12.0,14.0,0.5384615384615384,0.038461538461538436,5.125,2.521780125229002,1.0,9.0,5.0,5.0,5.0,6,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,23,5,valence_score,32,32,32.0,1.0,18.0,14.0,0.4375,0.0625,5.125,2.521780125229002,1.0,9.0,5.125,5.125,5.125,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,23,5,valence_score,32,32,23.0,0.71875,12.0,11.0,0.4782608695652174,0.021739130434782594,5.125,2.521780125229002,1.0,9.0,5.0,4.0,6.666666666666664,9,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,23,5,valence_score,32,32,,,,,,0.0,5.125,2.521780125229002,1.0,9.0,5.0,,,58,496.0,438.0,0.8830645161290323,5.0,4.911210317460317
EEG,valence,subject_median_split,24,5,valence_score,32,32,21.0,0.65625,11.0,10.0,0.47619047619047616,0.023809523809523836,4.375,2.1028254801575903,1.0,8.0,5.0,5.0,5.0,11,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,24,5,valence_score,32,32,32.0,1.0,11.0,21.0,0.65625,0.15625,4.375,2.1028254801575903,1.0,8.0,4.375,4.375,4.375,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,24,5,valence_score,32,32,32.0,1.0,11.0,21.0,0.65625,0.15625,4.375,2.1028254801575903,1.0,8.0,5.0,4.333333333333332,5.0,0,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,24,5,valence_score,32,32,,,,,,0.0,4.375,2.1028254801575903,1.0,8.0,5.0,,,95,496.0,401.0,0.8084677419354839,5.0,4.911210317460317
EEG,valence,subject_median_split,25,4,valence_score,32,32,28.0,0.875,14.0,14.0,0.5,0.0,4.84375,2.785109681412924,1.0,9.0,5.0,5.0,5.0,4,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,25,4,valence_score,32,32,32.0,1.0,14.0,18.0,0.5625,0.0625,4.84375,2.785109681412924,1.0,9.0,4.84375,4.84375,4.84375,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,25,4,valence_score,32,32,23.0,0.71875,12.0,11.0,0.4782608695652174,0.021739130434782594,4.84375,2.785109681412924,1.0,9.0,5.0,3.0,6.666666666666664,9,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,25,4,valence_score,32,32,,,,,,0.0,4.84375,2.785109681412924,1.0,9.0,5.0,,,52,496.0,444.0,0.8951612903225806,5.0,4.911210317460317
EEG,valence,subject_median_split,26,2,valence_score,32,32,27.0,0.84375,15.0,12.0,0.4444444444444444,0.05555555555555558,4.5625,2.80554696093293,1.0,9.0,5.0,5.0,5.0,5,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,26,2,valence_score,32,32,32.0,1.0,15.0,17.0,0.53125,0.03125,4.5625,2.80554696093293,1.0,9.0,4.5625,4.5625,4.5625,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,26,2,valence_score,32,32,23.0,0.71875,12.0,11.0,0.4782608695652174,0.021739130434782594,4.5625,2.80554696093293,1.0,9.0,5.0,3.0,6.666666666666664,9,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,26,2,valence_score,32,32,,,,,,0.0,4.5625,2.80554696093293,1.0,9.0,5.0,,,67,496.0,429.0,0.8649193548387096,5.0,4.911210317460317
EEG,valence,subject_median_split,27,5,valence_score,32,32,27.0,0.84375,14.0,13.0,0.48148148148148145,0.018518518518518545,5.15625,2.5262295892297675,1.0,9.0,6.0,6.0,6.0,5,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,27,5,valence_score,32,32,32.0,1.0,14.0,18.0,0.5625,0.0625,5.15625,2.5262295892297675,1.0,9.0,5.15625,5.15625,5.15625,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,27,5,valence_score,32,32,26.0,0.8125,13.0,13.0,0.5,0.0,5.15625,2.5262295892297675,1.0,9.0,6.0,3.0,7.0,6,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,27,5,valence_score,32,32,,,,,,0.0,5.15625,2.5262295892297675,1.0,9.0,6.0,,,67,496.0,429.0,0.8649193548387096,5.0,4.911210317460317
EEG,valence,subject_median_split,28,1,valence_score,32,32,25.0,0.78125,13.0,12.0,0.48,0.020000000000000018,4.84375,1.5832990676116752,2.0,7.0,5.0,5.0,5.0,7,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,28,1,valence_score,32,32,32.0,1.0,13.0,19.0,0.59375,0.09375,4.84375,1.5832990676116752,2.0,7.0,4.84375,4.84375,4.84375,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,28,1,valence_score,32,32,25.0,0.78125,13.0,12.0,0.48,0.020000000000000018,4.84375,1.5832990676116752,2.0,7.0,5.0,4.0,6.0,7,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,28,1,valence_score,32,32,,,,,,0.0,4.84375,1.5832990676116752,2.0,7.0,5.0,,,91,496.0,405.0,0.8165322580645161,5.0,4.911210317460317
EEG,valence,subject_median_split,29,5,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,5.375,2.2603926650031405,1.0,9.0,5.5,5.5,5.5,0,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,29,5,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,5.375,2.2603926650031405,1.0,9.0,5.375,5.375,5.375,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,29,5,valence_score,32,32,24.0,0.75,11.0,13.0,0.5416666666666666,0.04166666666666663,5.375,2.2603926650031405,1.0,9.0,5.5,4.333333333333332,7.0,8,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,29,5,valence_score,32,32,,,,,,0.0,5.375,2.2603926650031405,1.0,9.0,5.5,,,57,496.0,439.0,0.8850806451612904,5.0,4.911210317460317
EEG,valence,subject_median_split,30,5,valence_score,32,32,27.0,0.84375,15.0,12.0,0.4444444444444444,0.05555555555555558,4.90625,2.6734735714983233,1.0,8.0,6.0,6.0,6.0,5,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,30,5,valence_score,32,32,32.0,1.0,13.0,19.0,0.59375,0.09375,4.90625,2.6734735714983233,1.0,8.0,4.90625,4.90625,4.90625,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,30,5,valence_score,32,32,25.0,0.78125,13.0,12.0,0.48,0.020000000000000018,4.90625,2.6734735714983233,1.0,8.0,6.0,4.0,7.0,7,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,30,5,valence_score,32,32,,,,,,0.0,4.90625,2.6734735714983233,1.0,8.0,6.0,,,76,496.0,420.0,0.8467741935483871,5.0,4.911210317460317
EEG,valence,subject_median_split,31,2,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,5.53125,3.4998604882909263,1.0,9.0,6.0,6.0,6.0,0,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,31,2,valence_score,32,32,32.0,1.0,16.0,16.0,0.5,0.0,5.53125,3.4998604882909263,1.0,9.0,5.53125,5.53125,5.53125,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,31,2,valence_score,32,32,25.0,0.78125,11.0,14.0,0.56,0.06000000000000005,5.53125,3.4998604882909263,1.0,9.0,6.0,2.6666666666666643,9.0,7,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,31,2,valence_score,32,32,,,,,,0.0,5.53125,3.4998604882909263,1.0,9.0,6.0,,,132,496.0,364.0,0.7338709677419355,5.0,4.911210317460317
EEG,valence,subject_median_split,32,6,valence_score,32,32,25.0,0.78125,13.0,12.0,0.48,0.020000000000000018,4.5,2.091650066335189,1.0,9.0,5.0,5.0,5.0,7,,,,5.0,4.911210317460317
EEG,valence,subject_zscore_sign,32,6,valence_score,32,32,32.0,1.0,13.0,19.0,0.59375,0.09375,4.5,2.091650066335189,1.0,9.0,4.5,4.5,4.5,0,,,,5.0,4.911210317460317
EEG,valence,subject_top_bottom_quantile_q33,32,6,valence_score,32,32,23.0,0.71875,11.0,12.0,0.5217391304347826,0.021739130434782594,4.5,2.091650066335189,1.0,9.0,5.0,3.333333333333332,6.0,9,,,,5.0,4.911210317460317
EEG,valence,within_subject_pairwise_or_ranking_task,32,6,valence_score,32,32,,,,,,0.0,4.5,2.091650066335189,1.0,9.0,5.0,,,64,496.0,432.0,0.8709677419354839,5.0,4.911210317460317
