modality,task,subject_id,fold_id,rating_column,n,rating_mean,rating_std,rating_min,rating_max,exact_midpoint_fraction,near_midpoint_fraction,discard_midpoint_n_valid,discard_midpoint_prop_high,discard_midpoint_n_high,discard_midpoint_n_low,midpoint_as_low_n_valid,midpoint_as_low_prop_high,midpoint_as_low_n_high,midpoint_as_low_n_low,midpoint_as_high_n_valid,midpoint_as_high_prop_high,midpoint_as_high_n_high,midpoint_as_high_n_low,discard_midpoint_abs_subject_prop_skew,midpoint_as_low_abs_subject_prop_skew,midpoint_as_high_abs_subject_prop_skew,mean_prediction_error_rate,max_prediction_error_rate,mean_true_prop_high
EEG,valence,34,2,valence_score,32,4.0625,2.060605190229317,1.0,7.0,0.25,0.25,24,0.4166666666666667,10,14,32,0.3125,10,22,32,0.5625,18,14,0.09636867576892566,0.11160714285714285,0.03472222222222221,0.4700520833333333,0.5833333333333333,0.4635416666666667
EEG,valence,35,3,valence_score,32,4.6875,2.1999644883497553,1.0,8.0,0.21875,0.21875,25,0.52,13,12,32,0.40625,13,19,32,0.625,20,12,0.0069646575644076725,0.01785714285714285,0.02777777777777779,0.5234375,0.59375,0.5440625
EEG,valence,36,4,valence_score,32,4.65625,2.813020785116953,1.0,9.0,0.125,0.125,28,0.4642857142857143,13,15,32,0.40625,13,19,32,0.53125,17,15,0.048749628149878044,0.01785714285714285,0.06597222222222221,0.5066964285714286,0.5625,0.4832589285714286
EEG,valence,37,5,valence_score,32,4.71875,1.1520192869479227,3.0,7.0,0.34375,0.34375,21,0.42857142857142855,9,12,32,0.28125,9,23,32,0.625,20,12,0.0844639138641638,0.14285714285714285,0.02777777777777779,0.5053943452380952,0.609375,0.48995535714285715
EEG,valence,38,1,valence_score,32,4.6875,1.911110606427582,1.0,9.0,0.0625,0.0625,30,0.36666666666666664,11,19,32,0.34375,11,21,32,0.40625,13,19,0.1463686757689257,0.08035714285714285,0.1909722222222222,0.5166666666666666,0.5666666666666667,0.3807291666666667
EEG,valence,39,3,valence_score,32,4.6875,2.822205476218909,1.0,9.0,0.125,0.125,28,0.5357142857142857,15,13,32,0.46875,15,17,32,0.59375,19,13,0.022678943278693353,0.04464285714285715,0.00347222222222221,0.5479910714285714,0.625,0.5479910714285714
EEG,valence,40,4,valence_score,32,5.125,3.1991209730174317,1.0,9.0,0.0625,0.0625,30,0.5,15,15,32,0.46875,15,17,32,0.53125,17,15,0.013035342435592345,0.04464285714285715,0.06597222222222221,0.53203125,0.609375,0.5078125
EEG,valence,41,6,valence_score,32,5.15625,1.325456878778031,2.0,8.0,0.375,0.375,20,0.55,11,9,32,0.34375,11,21,32,0.71875,23,9,0.0369646575644077,0.08035714285714285,0.12152777777777779,0.421875,0.5,0.5828125
EEG,valence,42,4,valence_score,32,5.125,2.912795049432761,1.0,9.0,0.0625,0.0625,30,0.5333333333333333,16,14,32,0.5,16,16,32,0.5625,18,14,0.02029799089774098,0.07589285714285715,0.03472222222222221,0.4330729166666667,0.4666666666666667,0.5395833333333333
EEG,valence,43,1,valence_score,32,5.1875,2.855230945125105,1.0,9.0,0.125,0.125,28,0.5714285714285714,16,12,32,0.5,16,16,32,0.625,20,12,0.05839322899297905,0.07589285714285715,0.02777777777777779,0.47823660714285715,0.53125,0.5803571428571428
EEG,valence,44,2,valence_score,32,5.625,2.2878756522153907,1.0,9.0,0.3125,0.3125,22,0.5909090909090909,13,9,32,0.40625,13,19,32,0.71875,23,9,0.0778737484734986,0.01785714285714285,0.12152777777777779,0.5266335227272727,0.5909090909090908,0.6086647727272727
EEG,valence,45,3,valence_score,32,4.8125,2.098176291449315,2.0,8.0,0.1875,0.1875,26,0.5,13,13,32,0.40625,13,19,32,0.59375,19,13,0.013035342435592345,0.01785714285714285,0.00347222222222221,0.4522235576923077,0.53125,0.5234375
EEG,valence,46,2,valence_score,32,4.53125,2.8502672572058922,1.0,9.0,0.09375,0.09375,29,0.41379310344827586,12,17,32,0.375,12,20,32,0.46875,15,17,0.09924223898731649,0.04910714285714285,0.1284722222222222,0.39520474137931033,0.484375,0.43157327586206895
EEG,valence,47,3,valence_score,32,4.875,3.1598061649411346,1.0,9.0,0.125,0.125,28,0.4642857142857143,13,15,32,0.40625,13,19,32,0.53125,17,15,0.048749628149878044,0.01785714285714285,0.06597222222222221,0.4949776785714286,0.5892857142857143,0.4832589285714286
EEG,valence,48,3,valence_score,32,5.3125,2.39057393736316,1.0,9.0,0.21875,0.21875,25,0.6,15,10,32,0.46875,15,17,32,0.6875,22,10,0.08696465756440763,0.04464285714285715,0.09027777777777779,0.52890625,0.6,0.6109375
EEG,valence,49,2,valence_score,32,4.96875,1.310638560969423,2.0,7.0,0.34375,0.34375,21,0.5238095238095238,11,10,32,0.34375,11,21,32,0.6875,22,10,0.01077418137393149,0.08035714285714285,0.09027777777777779,0.46242559523809523,0.578125,0.5606398809523809
EEG,valence,50,6,valence_score,32,4.875,3.266783586342995,1.0,9.0,0.0625,0.0625,30,0.5,15,15,32,0.46875,15,17,32,0.53125,17,15,0.013035342435592345,0.04464285714285715,0.06597222222222221,0.46770833333333334,0.546875,0.5078125
EEG,valence,52,3,valence_score,32,4.34375,1.9938871426186588,1.0,8.0,0.125,0.125,28,0.39285714285714285,11,17,32,0.34375,11,21,32,0.46875,15,17,0.1201781995784495,0.08035714285714285,0.1284722222222222,0.60546875,0.671875,0.4185267857142857
EEG,valence,53,4,valence_score,32,4.25,2.5860201081971503,1.0,8.0,0.125,0.125,28,0.5,14,14,32,0.4375,14,18,32,0.5625,18,14,0.013035342435592345,0.01339285714285715,0.03472222222222221,0.42578125,0.53125,0.515625
EEG,valence,54,1,valence_score,32,5.1875,2.3774658252012792,1.0,9.0,0.15625,0.15625,27,0.5185185185185185,14,13,32,0.4375,14,18,32,0.59375,19,13,0.0054831760829261444,0.01339285714285715,0.00347222222222221,0.5153356481481481,0.5925925925925926,0.5358796296296297
EEG,valence,55,4,valence_score,32,5.375,1.899835519196333,1.0,9.0,0.34375,0.34375,21,0.6190476190476191,13,8,32,0.40625,13,19,32,0.75,24,8,0.10601227661202672,0.01785714285714285,0.1527777777777778,0.48251488095238093,0.546875,0.6313244047619048
EEG,valence,56,5,valence_score,32,4.75,2.704163456597992,1.0,9.0,0.03125,0.03125,31,0.4838709677419355,15,16,32,0.46875,15,17,32,0.5,16,16,0.029164374693656847,0.04464285714285715,0.09722222222222221,0.46849798387096775,0.546875,0.4881552419354839
EEG,valence,57,3,valence_score,32,5.65625,2.779493827570049,1.0,9.0,0.15625,0.15625,27,0.6666666666666666,18,9,32,0.5625,18,14,32,0.71875,23,9,0.15363132423107428,0.13839285714285715,0.12152777777777779,0.41435185185185186,0.453125,0.6666666666666666
EEG,valence,58,1,valence_score,32,5.21875,2.2463077343721185,1.0,9.0,0.15625,0.15625,27,0.5925925925925926,16,11,32,0.5,16,16,32,0.65625,21,11,0.07955725015700021,0.07589285714285715,0.05902777777777779,0.45587384259259256,0.546875,0.6012731481481481
EEG,valence,59,1,valence_score,32,5.125,2.2878756522153907,2.0,9.0,0.15625,0.15625,27,0.4444444444444444,12,15,32,0.375,12,20,32,0.53125,17,15,0.06859089799114793,0.04910714285714285,0.06597222222222221,0.49754050925925924,0.537037037037037,0.4704861111111111
EEG,valence,60,5,valence_score,32,5.0625,3.020114857087392,1.0,9.0,0.21875,0.21875,25,0.56,14,11,32,0.4375,14,18,32,0.65625,21,11,0.04696465756440771,0.01339285714285715,0.05902777777777779,0.495,0.53125,0.5775
EEG,valence,61,4,valence_score,32,6.0,3.1622776601683795,1.0,9.0,0.0625,0.0625,30,0.6333333333333333,19,11,32,0.59375,19,13,32,0.65625,21,11,0.12029799089774096,0.16964285714285715,0.05902777777777779,0.5203125,0.578125,0.6348958333333333
EEG,valence,62,3,valence_score,32,5.5,2.622022120425379,1.0,9.0,0.09375,0.09375,29,0.6206896551724138,18,11,32,0.5625,18,14,32,0.65625,21,11,0.10765431273682147,0.13839285714285715,0.05902777777777779,0.4327855603448276,0.4655172413793104,0.6239224137931034
EEG,valence,63,2,valence_score,32,4.875,2.747157621979489,1.0,9.0,0.21875,0.21875,25,0.52,13,12,32,0.40625,13,19,32,0.625,20,12,0.0069646575644076725,0.01785714285714285,0.02777777777777779,0.4671875,0.546875,0.5440625
EEG,valence,64,5,valence_score,32,4.34375,2.1594179626695706,1.0,9.0,0.34375,0.34375,21,0.42857142857142855,9,12,32,0.28125,9,23,32,0.625,20,12,0.0844639138641638,0.14285714285714285,0.02777777777777779,0.48623511904761907,0.515625,0.48995535714285715
EEG,valence,65,1,valence_score,32,5.0,2.704163456597992,1.0,9.0,0.125,0.125,28,0.5357142857142857,15,13,32,0.46875,15,17,32,0.59375,19,13,0.022678943278693353,0.04464285714285715,0.00347222222222221,0.4268973214285714,0.53125,0.5479910714285714
EEG,arousal,1,4,arousal_score,32,4.40625,2.4348944407304396,1.0,8.0,0.09375,0.09375,29,0.41379310344827586,12,17,32,0.375,12,20,32,0.46875,15,17,0.03021271775153761,0.034226190476190466,0.02033730158730157,0.584051724137931,0.640625,0.43157327586206895
EEG,arousal,2,2,arousal_score,32,6.5,2.3048861143232218,2.0,9.0,0.09375,0.09375,29,0.7586206896551724,22,7,32,0.6875,22,10,32,0.78125,25,7,0.37504030395843413,0.34672619047619047,0.33283730158730157,0.5043103448275862,0.53125,0.7521551724137931
EEG,arousal,3,4,arousal_score,32,3.0625,1.5194057226429023,1.0,6.0,0.15625,0.15625,27,0.037037037037037035,1,26,32,0.03125,1,31,32,0.1875,6,26,0.3465433486597012,0.30952380952380953,0.26091269841269843,0.11863425925925927,0.1875,0.11082175925925926
EEG,arousal,5,2,arousal_score,32,5.1875,2.0832291640623697,1.0,8.0,0.0625,0.0625,30,0.6,18,12,32,0.5625,18,14,32,0.625,20,12,0.21641961430326173,0.22172619047619047,0.17658730158730157,0.5213541666666667,0.6166666666666667,0.603125
EEG,arousal,6,1,arousal_score,32,7.53125,1.39159025488827,3.0,9.0,0.0,0.0,32,0.9375,30,2,32,0.9375,30,2,32,0.9375,30,2,0.5539196143032618,0.5967261904761905,0.48908730158730157,0.453125,0.484375,0.9375
EEG,arousal,7,1,arousal_score,32,3.28125,0.909477013178453,2.0,5.0,0.125,0.125,28,0.0,0,28,32,0.0,0,32,32,0.125,4,28,0.38358038569673825,0.34077380952380953,0.32341269841269843,0.6088169642857143,0.640625,0.0625
EEG,arousal,8,1,arousal_score,32,3.3125,2.4929588343973914,1.0,8.0,0.09375,0.09375,29,0.27586206896551724,8,21,32,0.25,8,24,32,0.34375,11,21,0.10771831673122101,0.09077380952380953,0.10466269841269843,0.6027747844827587,0.65625,0.30334051724137934
EEG,arousal,9,3,arousal_score,32,5.34375,1.96229099205495,1.0,9.0,0.15625,0.15625,27,0.6296296296296297,17,10,32,0.53125,17,15,32,0.6875,22,10,0.2460492439328914,0.19047619047619047,0.23908730158730157,0.37528935185185186,0.40740740740740744,0.6339699074074074
EEG,arousal,10,3,arousal_score,32,4.1875,2.567069097239106,1.0,9.0,0.0625,0.0625,30,0.36666666666666664,11,19,32,0.34375,11,21,32,0.40625,13,19,0.016913719030071606,0.0029761904761904656,0.04216269841269843,0.5520833333333333,0.5833333333333333,0.3807291666666667
EEG,arousal,11,2,arousal_score,32,5.0,1.8874586088176875,1.0,9.0,0.25,0.25,24,0.5416666666666666,13,11,32,0.40625,13,19,32,0.65625,21,11,0.15808628096992838,0.06547619047619047,0.20783730158730157,0.5403645833333333,0.5833333333333333,0.5651041666666666
EEG,arousal,12,6,arousal_score,32,4.8125,1.1575161985907585,3.0,7.0,0.1875,0.1875,26,0.34615384615384615,9,17,32,0.28125,9,23,32,0.46875,15,17,0.0374265395428921,0.059523809523809534,0.02033730158730157,0.5823317307692308,0.6730769230769231,0.39122596153846156
EEG,arousal,13,1,arousal_score,32,2.375,1.243734296383275,1.0,5.0,0.0625,0.0625,30,0.0,0,30,32,0.0,0,32,32,0.0625,2,30,0.38358038569673825,0.34077380952380953,0.38591269841269843,0.42291666666666666,0.59375,0.03125
EEG,arousal,14,5,arousal_score,32,2.75,1.6393596310755,1.0,7.0,0.125,0.125,28,0.07142857142857142,2,26,32,0.0625,2,30,32,0.1875,6,26,0.31215181426816685,0.27827380952380953,0.26091269841269843,0.5870535714285714,0.640625,0.12723214285714285
EEG,arousal,15,6,arousal_score,32,3.8125,2.214123697989794,1.0,8.0,0.09375,0.09375,29,0.3448275862068966,10,19,32,0.3125,10,22,32,0.40625,13,19,0.03875279948984167,0.028273809523809534,0.04216269841269843,0.4288793103448276,0.4655172413793104,0.36745689655172414
EEG,arousal,16,6,arousal_score,32,4.0625,2.4486922530199666,1.0,9.0,0.0625,0.0625,30,0.3,9,21,32,0.28125,9,23,32,0.34375,11,21,0.08358038569673826,0.059523809523809534,0.10466269841269843,0.45729166666666665,0.5166666666666666,0.3171875
EEG,arousal,17,2,arousal_score,32,3.71875,2.3747943989954163,1.0,8.0,0.03125,0.03125,31,0.22580645161290322,7,24,32,0.21875,7,25,32,0.25,8,24,0.15777393408383503,0.12202380952380953,0.19841269841269843,0.5391885080645161,0.640625,0.2361391129032258
EEG,arousal,18,6,arousal_score,32,4.9375,2.9679275176459416,1.0,9.0,0.0625,0.0625,30,0.5333333333333333,16,14,32,0.5,16,16,32,0.5625,18,14,0.14975294763659508,0.15922619047619047,0.11408730158730157,0.4484375,0.453125,0.5395833333333333
EEG,arousal,19,4,arousal_score,32,5.4375,1.9354828209002528,1.0,8.0,0.15625,0.15625,27,0.6666666666666666,18,9,32,0.5625,18,14,32,0.71875,23,9,0.2830862809699284,0.22172619047619047,0.27033730158730157,0.611255787037037,0.6481481481481481,0.6666666666666666
EEG,arousal,20,3,arousal_score,32,5.3125,2.1423920626253263,2.0,9.0,0.03125,0.03125,31,0.5806451612903226,18,13,32,0.5625,18,14,32,0.59375,19,13,0.19706477559358437,0.22172619047619047,0.14533730158730157,0.4565272177419355,0.484375,0.5826612903225806
EEG,arousal,21,6,arousal_score,32,4.34375,2.745557491202834,1.0,9.0,0.0625,0.0625,30,0.3,9,21,32,0.28125,9,23,32,0.34375,11,21,0.08358038569673826,0.059523809523809534,0.10466269841269843,0.4515625,0.484375,0.3171875
EEG,arousal,22,6,arousal_score,32,3.8125,3.0355961111452228,1.0,9.0,0.09375,0.09375,29,0.3448275862068966,10,19,32,0.3125,10,22,32,0.40625,13,19,0.03875279948984167,0.028273809523809534,0.04216269841269843,0.45783943965517243,0.5344827586206897,0.36745689655172414
EEG,arousal,23,5,arousal_score,32,5.15625,2.108159371940366,1.0,9.0,0.1875,0.1875,26,0.5,13,13,32,0.40625,13,19,32,0.59375,19,13,0.11641961430326175,0.06547619047619047,0.14533730158730157,0.5087139423076923,0.59375,0.5234375
EEG,arousal,24,5,arousal_score,32,4.28125,2.706870598587971,1.0,9.0,0.03125,0.03125,31,0.3548387096774194,11,20,32,0.34375,11,21,32,0.375,12,20,0.028741676019318874,0.0029761904761904656,0.07341269841269843,0.4722782258064516,0.484375,0.36214717741935487
EEG,arousal,25,4,arousal_score,32,4.25,3.0413812651491097,1.0,9.0,0.03125,0.03125,31,0.3548387096774194,11,20,32,0.34375,11,21,32,0.375,12,20,0.028741676019318874,0.0029761904761904656,0.07341269841269843,0.432585685483871,0.484375,0.36214717741935487
EEG,arousal,26,2,arousal_score,32,3.125,2.381569860407206,1.0,8.0,0.0625,0.0625,30,0.26666666666666666,8,22,32,0.25,8,24,32,0.3125,10,22,0.11691371903007158,0.09077380952380953,0.13591269841269843,0.36015625,0.40625,0.28541666666666665
EEG,arousal,27,5,arousal_score,32,5.0625,1.71277370075559,3.0,8.0,0.09375,0.09375,29,0.4482758620689655,13,16,32,0.40625,13,19,32,0.5,16,16,0.06469547637222728,0.06547619047619047,0.05158730158730157,0.4644396551724138,0.5,0.4636314655172414
EEG,arousal,28,1,arousal_score,32,3.15625,2.346664854106781,1.0,8.0,0.0,0.0,32,0.25,8,24,32,0.25,8,24,32,0.25,8,24,0.13358038569673825,0.09077380952380953,0.19841269841269843,0.49609375,0.59375,0.25
EEG,arousal,29,5,arousal_score,32,3.8125,2.0832291640623697,1.0,8.0,0.03125,0.03125,31,0.3225806451612903,10,21,32,0.3125,10,22,32,0.34375,11,21,0.06099974053544793,0.028273809523809534,0.10466269841269843,0.4493447580645161,0.5161290322580645,0.33064516129032256
EEG,arousal,30,5,arousal_score,32,4.34375,2.0707694071286644,2.0,9.0,0.0625,0.0625,30,0.3333333333333333,10,20,32,0.3125,10,22,32,0.375,12,20,0.05024705236340493,0.028273809523809534,0.07341269841269843,0.409375,0.44999999999999996,0.3489583333333333
EEG,arousal,31,2,arousal_score,32,5.125,3.2379584617471546,1.0,9.0,0.09375,0.09375,29,0.5172413793103449,15,14,32,0.46875,15,17,32,0.5625,18,14,0.13366099361360662,0.12797619047619047,0.11408730158730157,0.5289601293103449,0.5689655172413793,0.5277478448275862
EEG,arousal,32,6,arousal_score,32,4.4375,1.9833289565778038,1.0,8.0,0.125,0.125,28,0.35714285714285715,10,18,32,0.3125,10,22,32,0.4375,14,18,0.026437528553881096,0.028273809523809534,0.01091269841269843,0.3253348214285714,0.375,0.3861607142857143
EEG,arousal,33,6,arousal_score,32,3.59375,1.6366767968966873,1.0,6.0,0.25,0.25,24,0.16666666666666666,4,20,32,0.125,4,28,32,0.375,12,20,0.2169137190300716,0.21577380952380953,0.07341269841269843,0.3828125,0.5,0.26041666666666663
EEG,arousal,34,2,arousal_score,32,3.84375,2.373148949707961,1.0,9.0,0.09375,0.09375,29,0.3103448275862069,9,20,32,0.28125,9,23,32,0.375,12,20,0.07323555811053134,0.059523809523809534,0.07341269841269843,0.4061153017241379,0.5,0.3353987068965517
EEG,arousal,35,3,arousal_score,32,4.59375,1.5783570373967988,2.0,8.0,0.21875,0.21875,25,0.36,9,16,32,0.28125,9,23,32,0.5,16,16,0.02358038569673826,0.059523809523809534,0.05158730158730157,0.4709375,0.54,0.41031249999999997
EEG,arousal,36,4,arousal_score,32,4.875,2.54644359843292,1.0,9.0,0.15625,0.15625,27,0.48148148148148145,13,14,32,0.40625,13,19,32,0.5625,18,14,0.09790109578474321,0.06547619047619047,0.11408730158730157,0.5337094907407407,0.59375,0.5031828703703703
EEG,arousal,37,5,arousal_score,32,4.75,1.346291201783626,2.0,7.0,0.375,0.375,20,0.5,10,10,32,0.3125,10,22,32,0.6875,22,10,0.11641961430326175,0.028273809523809534,0.23908730158730157,0.4921875,0.515625,0.546875
EEG,arousal,38,1,arousal_score,32,4.5,1.984313483298443,1.0,8.0,0.1875,0.1875,26,0.46153846153846156,12,14,32,0.375,12,20,32,0.5625,18,14,0.07795807584172332,0.034226190476190466,0.11408730158730157,0.453125,0.5,0.4903846153846154
