run_id,matrix_option,dataset,target,label_column,modality,da_policy,fold_id,execution_authorized,status
27,A,I-DARE,valence,valence_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,3,False,planned_metadata_only
28,A,I-DARE,valence,valence_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,4,False,planned_metadata_only
29,A,I-DARE,valence,valence_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,5,False,planned_metadata_only
30,A,I-DARE,valence,valence_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,6,False,planned_metadata_only
31,A,I-DARE,valence,valence_midpoint_as_high,EMG,M0_none_baseline,1,False,planned_metadata_only
32,A,I-DARE,valence,valence_midpoint_as_high,EMG,M0_none_baseline,2,False,planned_metadata_only
33,A,I-DARE,valence,valence_midpoint_as_high,EMG,M0_none_baseline,3,False,planned_metadata_only
34,A,I-DARE,valence,valence_midpoint_as_high,EMG,M0_none_baseline,4,False,planned_metadata_only
35,A,I-DARE,valence,valence_midpoint_as_high,EMG,M0_none_baseline,5,False,planned_metadata_only
36,A,I-DARE,valence,valence_midpoint_as_high,EMG,M0_none_baseline,6,False,planned_metadata_only
37,A,I-DARE,valence,valence_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,1,False,planned_metadata_only
38,A,I-DARE,valence,valence_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,2,False,planned_metadata_only
39,A,I-DARE,valence,valence_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,3,False,planned_metadata_only
40,A,I-DARE,valence,valence_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,4,False,planned_metadata_only
41,A,I-DARE,valence,valence_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,5,False,planned_metadata_only
42,A,I-DARE,valence,valence_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,6,False,planned_metadata_only
43,A,I-DARE,valence,valence_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,1,False,planned_metadata_only
44,A,I-DARE,valence,valence_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,2,False,planned_metadata_only
45,A,I-DARE,valence,valence_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,3,False,planned_metadata_only
46,A,I-DARE,valence,valence_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,4,False,planned_metadata_only
47,A,I-DARE,valence,valence_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,5,False,planned_metadata_only
48,A,I-DARE,valence,valence_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,6,False,planned_metadata_only
49,A,I-DARE,valence,valence_midpoint_as_high,EMG,M3_feature_scaling,1,False,planned_metadata_only
50,A,I-DARE,valence,valence_midpoint_as_high,EMG,M3_feature_scaling,2,False,planned_metadata_only
51,A,I-DARE,valence,valence_midpoint_as_high,EMG,M3_feature_scaling,3,False,planned_metadata_only
52,A,I-DARE,valence,valence_midpoint_as_high,EMG,M3_feature_scaling,4,False,planned_metadata_only
53,A,I-DARE,valence,valence_midpoint_as_high,EMG,M3_feature_scaling,5,False,planned_metadata_only
54,A,I-DARE,valence,valence_midpoint_as_high,EMG,M3_feature_scaling,6,False,planned_metadata_only
55,A,I-DARE,valence,valence_midpoint_as_high,EMG,M4_feature_dropout,1,False,planned_metadata_only
56,A,I-DARE,valence,valence_midpoint_as_high,EMG,M4_feature_dropout,2,False,planned_metadata_only
57,A,I-DARE,valence,valence_midpoint_as_high,EMG,M4_feature_dropout,3,False,planned_metadata_only
58,A,I-DARE,valence,valence_midpoint_as_high,EMG,M4_feature_dropout,4,False,planned_metadata_only
59,A,I-DARE,valence,valence_midpoint_as_high,EMG,M4_feature_dropout,5,False,planned_metadata_only
60,A,I-DARE,valence,valence_midpoint_as_high,EMG,M4_feature_dropout,6,False,planned_metadata_only
61,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E0_none_baseline,1,False,planned_metadata_only
62,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E0_none_baseline,2,False,planned_metadata_only
63,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E0_none_baseline,3,False,planned_metadata_only
64,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E0_none_baseline,4,False,planned_metadata_only
65,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E0_none_baseline,5,False,planned_metadata_only
66,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E0_none_baseline,6,False,planned_metadata_only
67,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,1,False,planned_metadata_only
68,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,2,False,planned_metadata_only
69,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,3,False,planned_metadata_only
70,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,4,False,planned_metadata_only
71,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,5,False,planned_metadata_only
72,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E1_additive_gaussian_noise_weak,6,False,planned_metadata_only
73,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,1,False,planned_metadata_only
74,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,2,False,planned_metadata_only
75,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,3,False,planned_metadata_only
76,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,4,False,planned_metadata_only
77,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,5,False,planned_metadata_only
78,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E2_additive_gaussian_noise_medium,6,False,planned_metadata_only
79,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E3_amplitude_scaling,1,False,planned_metadata_only
80,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E3_amplitude_scaling,2,False,planned_metadata_only
81,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E3_amplitude_scaling,3,False,planned_metadata_only
82,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E3_amplitude_scaling,4,False,planned_metadata_only
83,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E3_amplitude_scaling,5,False,planned_metadata_only
84,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E3_amplitude_scaling,6,False,planned_metadata_only
85,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,1,False,planned_metadata_only
86,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,2,False,planned_metadata_only
87,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,3,False,planned_metadata_only
88,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,4,False,planned_metadata_only
89,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,5,False,planned_metadata_only
90,A,I-DARE,arousal,arousal_midpoint_as_high,EEG,E4_time_channel_masking_or_dropout,6,False,planned_metadata_only
91,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M0_none_baseline,1,False,planned_metadata_only
92,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M0_none_baseline,2,False,planned_metadata_only
93,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M0_none_baseline,3,False,planned_metadata_only
94,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M0_none_baseline,4,False,planned_metadata_only
95,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M0_none_baseline,5,False,planned_metadata_only
96,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M0_none_baseline,6,False,planned_metadata_only
97,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,1,False,planned_metadata_only
98,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,2,False,planned_metadata_only
99,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,3,False,planned_metadata_only
100,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,4,False,planned_metadata_only
101,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,5,False,planned_metadata_only
102,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M1_feature_gaussian_jitter_weak,6,False,planned_metadata_only
103,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,1,False,planned_metadata_only
104,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,2,False,planned_metadata_only
105,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,3,False,planned_metadata_only
106,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,4,False,planned_metadata_only
107,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,5,False,planned_metadata_only
108,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M2_feature_gaussian_jitter_medium,6,False,planned_metadata_only
109,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M3_feature_scaling,1,False,planned_metadata_only
110,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M3_feature_scaling,2,False,planned_metadata_only
111,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M3_feature_scaling,3,False,planned_metadata_only
112,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M3_feature_scaling,4,False,planned_metadata_only
113,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M3_feature_scaling,5,False,planned_metadata_only
114,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M3_feature_scaling,6,False,planned_metadata_only
115,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M4_feature_dropout,1,False,planned_metadata_only
116,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M4_feature_dropout,2,False,planned_metadata_only
117,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M4_feature_dropout,3,False,planned_metadata_only
118,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M4_feature_dropout,4,False,planned_metadata_only
119,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M4_feature_dropout,5,False,planned_metadata_only
120,A,I-DARE,arousal,arousal_midpoint_as_high,EMG,M4_feature_dropout,6,False,planned_metadata_only
