subject_id,n,mean_rating,std_rating,min_rating,max_rating,global_high_rate,rating_range,global_entropy,sr_valid,sr_high_rate,sr_retention,modality,task
32,32,4.5,2.1251185925162073,1,9,0.59375,8,0.9744894033980523,23,0.5217391304347826,0.71875,EEG,valence
33,32,4.78125,1.9794814407297552,1,8,0.625,7,0.954434002924965,25,0.52,0.78125,EEG,valence
34,32,4.0625,2.093576966851,1,7,0.5625,6,0.9886994082884974,31,0.5806451612903226,0.96875,EEG,valence
35,32,4.6875,2.235166155330624,1,8,0.625,7,0.954434002924965,25,0.52,0.78125,EEG,valence
36,32,4.65625,2.8580319757122292,1,9,0.53125,8,0.9971803988942642,24,0.5416666666666666,0.75,EEG,valence
37,32,4.71875,1.1704527659924406,3,7,0.625,4,0.954434002924965,32,0.625,1.0,EEG,valence
38,32,4.6875,1.9416903178217118,1,9,0.40625,8,0.9744894033980523,30,0.36666666666666664,0.9375,EEG,valence
39,32,4.6875,2.8673636312034767,1,9,0.59375,8,0.9744894033980523,22,0.5,0.6875,EEG,valence
40,32,5.125,3.250310158897495,1,9,0.53125,8,0.9971803988942642,23,0.5217391304347826,0.71875,EEG,valence
41,32,5.15625,1.3466655355046884,2,8,0.71875,6,0.8571484374283715,32,0.34375,1.0,EEG,valence
42,32,5.125,2.9594027296278944,1,9,0.5625,8,0.9886994082884974,22,0.5,0.6875,EEG,valence
43,32,5.1875,2.9009175411660983,1,9,0.625,8,0.954434002924965,26,0.5384615384615384,0.8125,EEG,valence
44,32,5.625,2.324483987135987,1,9,0.71875,8,0.8571484374283715,30,0.36666666666666664,0.9375,EEG,valence
45,32,4.8125,2.131749243862813,2,8,0.59375,6,0.9744894033980523,25,0.52,0.78125,EEG,valence
46,32,4.53125,2.895874429197064,1,9,0.46875,8,0.9971803988942642,23,0.5217391304347826,0.71875,EEG,valence
47,32,4.875,3.210366273948072,1,9,0.53125,8,0.9971803988942642,22,0.5,0.6875,EEG,valence
48,32,5.3125,2.428825549187734,1,9,0.6875,8,0.8960382325345574,29,0.41379310344827586,0.90625,EEG,valence
49,32,4.96875,1.3316101095557091,2,7,0.6875,5,0.8960382325345574,32,0.34375,1.0,EEG,valence
50,32,4.875,3.3190554427815853,1,9,0.53125,8,0.9971803988942642,24,0.5,0.75,EEG,valence
52,32,4.34375,2.025791362692933,1,8,0.46875,7,0.9971803988942642,23,0.4782608695652174,0.71875,EEG,valence
53,32,4.25,2.6273990573286756,1,8,0.5625,7,0.9886994082884974,25,0.56,0.78125,EEG,valence
54,32,5.1875,2.4155076939134017,1,9,0.59375,8,0.9744894033980523,26,0.5,0.8125,EEG,valence
55,32,5.375,1.930234817739257,1,9,0.75,8,0.8112781244591328,30,0.36666666666666664,0.9375,EEG,valence
56,32,4.75,2.7474328193377526,1,9,0.5,8,1.0,26,0.5,0.8125,EEG,valence
57,32,5.65625,2.823968552781134,1,9,0.71875,8,0.8571484374283715,26,0.46153846153846156,0.8125,EEG,valence
58,32,5.21875,2.2822509403741535,1,9,0.65625,8,0.9283620723948676,22,0.5,0.6875,EEG,valence
59,32,5.125,2.3244839871359866,2,9,0.53125,7,0.9971803988942642,27,0.4444444444444444,0.84375,EEG,valence
60,32,5.0625,3.0684397632420883,1,9,0.65625,8,0.9283620723948676,24,0.5416666666666666,0.75,EEG,valence
61,32,6.0,3.2128773156099952,1,9,0.65625,8,0.9283620723948676,23,0.5217391304347826,0.71875,EEG,valence
62,32,5.5,2.6639771383306554,1,9,0.65625,8,0.9283620723948676,23,0.5217391304347826,0.71875,EEG,valence
63,32,4.875,2.791114935047491,1,9,0.625,8,0.954434002924965,23,0.4782608695652174,0.71875,EEG,valence
64,32,4.34375,2.193970844044225,1,9,0.625,8,0.954434002924965,31,0.6451612903225806,0.96875,EEG,valence
65,32,5.0,2.747432819337753,1,9,0.59375,8,0.9744894033980523,24,0.4583333333333333,0.75,EEG,valence
1,32,4.40625,2.473855225638589,1,8,0.46875,7,0.9971803988942642,27,0.4444444444444444,0.84375,EEG,arousal
2,32,6.5,2.341766633920198,2,9,0.78125,7,0.7578784625383954,30,0.5333333333333333,0.9375,EEG,arousal
3,32,3.0625,1.5437177579237178,1,6,0.1875,5,0.6962122601251458,27,0.5555555555555556,0.84375,EEG,arousal
5,32,5.1875,2.1165629472513734,1,8,0.625,7,0.954434002924965,23,0.4782608695652174,0.71875,EEG,arousal
6,32,7.53125,1.4138571128243032,3,9,0.9375,6,0.3372900666170139,32,0.59375,1.0,EEG,arousal
7,32,3.28125,0.9240295694193394,2,5,0.125,3,0.5435644431995964,32,0.34375,1.0,EEG,arousal
8,32,3.3125,2.5328487085977245,1,8,0.34375,7,0.9283620723948676,24,0.4583333333333333,0.75,EEG,arousal
9,32,5.34375,1.9936896416184675,1,9,0.6875,8,0.8960382325345574,32,0.53125,1.0,EEG,arousal
10,32,4.1875,2.608144810941047,1,9,0.40625,8,0.9744894033980523,22,0.5,0.6875,EEG,arousal
11,32,5.0,1.917659864219594,1,9,0.65625,8,0.9283620723948676,24,0.5416666666666666,0.75,EEG,arousal
12,32,4.8125,1.1760376338064324,3,7,0.46875,4,0.9971803988942642,32,0.46875,1.0,EEG,arousal
13,32,2.375,1.2636353087613479,1,5,0.0625,4,0.3372900666170139,32,0.34375,1.0,EEG,arousal
14,32,2.75,1.6655910507645917,1,7,0.1875,6,0.6962122601251458,32,0.46875,1.0,EEG,arousal
15,32,3.8125,2.2495519267106823,1,8,0.40625,7,0.9744894033980523,25,0.52,0.78125,EEG,arousal
16,32,4.0625,2.487873816943347,1,9,0.34375,8,0.9283620723948676,22,0.5,0.6875,EEG,arousal
17,32,3.71875,2.4127935221740713,1,8,0.25,7,0.8112781244591328,26,0.5384615384615384,0.8125,EEG,arousal
18,32,4.9375,3.0154173733471574,1,9,0.5625,8,0.9886994082884974,26,0.5,0.8125,EEG,arousal
19,32,5.4375,1.9664525124881522,1,8,0.71875,7,0.8571484374283715,27,0.48148148148148145,0.84375,EEG,arousal
20,32,5.3125,2.1766725123009323,2,9,0.59375,7,0.9744894033980523,24,0.4583333333333333,0.75,EEG,arousal
21,32,4.34375,2.7894892005526746,1,9,0.34375,8,0.9283620723948676,22,0.5,0.6875,EEG,arousal
22,32,3.8125,3.0841687330938212,1,9,0.40625,8,0.9744894033980523,25,0.52,0.78125,EEG,arousal
23,32,5.15625,2.1418920637845473,1,9,0.59375,8,0.9744894033980523,26,0.5,0.8125,EEG,arousal
24,32,4.28125,2.7501832783500317,1,9,0.375,8,0.954434002924965,23,0.4782608695652174,0.71875,EEG,arousal
25,32,4.25,3.090046455439496,1,9,0.375,8,0.954434002924965,25,0.44,0.78125,EEG,arousal
26,32,3.125,2.4196773978523294,1,8,0.3125,7,0.8960382325345574,28,0.4642857142857143,0.875,EEG,arousal
27,32,5.0625,1.7401798201483698,3,8,0.5,5,1.0,29,0.4482758620689655,0.90625,EEG,arousal
28,32,3.15625,2.3842138759875575,1,8,0.25,7,0.8112781244591328,22,0.5,0.6875,EEG,arousal
29,32,3.8125,2.116562947251373,1,8,0.34375,7,0.9283620723948676,28,0.39285714285714285,0.875,EEG,arousal
30,32,4.34375,2.1039038215475965,2,9,0.375,7,0.954434002924965,25,0.48,0.78125,EEG,arousal
31,32,5.125,3.289769086905841,1,9,0.5625,8,0.9886994082884974,25,0.44,0.78125,EEG,arousal
32,32,4.4375,2.0150642349482912,1,8,0.4375,7,0.9886994082884974,25,0.56,0.78125,EEG,arousal
33,32,3.59375,1.6628652885131538,1,6,0.375,5,0.954434002924965,27,0.4444444444444444,0.84375,EEG,arousal
34,32,3.84375,2.411121744026238,1,9,0.375,8,0.954434002924965,26,0.46153846153846156,0.8125,EEG,arousal
35,32,4.59375,1.603612353608303,2,8,0.5,6,1.0,32,0.5,1.0,EEG,arousal
36,32,4.875,2.5871892831984242,1,9,0.5625,8,0.9886994082884974,22,0.5,0.6875,EEG,arousal
37,32,4.75,1.3678332288460768,2,7,0.6875,5,0.8960382325345574,32,0.3125,1.0,EEG,arousal
38,32,4.5,2.0160645150967413,1,8,0.5625,7,0.9886994082884974,24,0.5,0.75,EEG,arousal
39,32,3.84375,2.9850095909501726,1,9,0.3125,8,0.8960382325345574,28,0.4642857142857143,0.875,EEG,arousal
40,32,5.375,3.1082616238953644,1,9,0.59375,8,0.9744894033980523,25,0.56,0.78125,EEG,arousal
41,32,2.375,0.8327955253822961,1,4,0.0,3,0.0,32,0.34375,1.0,EEG,arousal
42,32,6.34375,2.2945851406609292,2,9,0.78125,7,0.7578784625383954,25,0.48,0.78125,EEG,arousal
43,32,4.1875,3.052629749428642,1,9,0.5,8,1.0,28,0.5714285714285714,0.875,EEG,arousal
44,32,3.8125,2.85609139638705,1,9,0.375,8,0.954434002924965,28,0.42857142857142855,0.875,EEG,arousal
45,32,4.6875,1.6932027297021957,2,8,0.5625,6,0.9886994082884974,25,0.44,0.78125,EEG,arousal
46,32,4.40625,1.9152928690394972,1,8,0.4375,7,0.9886994082884974,27,0.4444444444444444,0.84375,EEG,arousal
47,32,4.96875,2.822540322292623,1,9,0.65625,8,0.9283620723948676,23,0.5217391304347826,0.71875,EEG,arousal
48,32,4.40625,2.1829157033064592,1,8,0.5,7,1.0,22,0.5,0.6875,EEG,arousal
49,32,2.65625,1.4052751997729038,1,6,0.15625,5,0.6252624052234231,32,0.46875,1.0,EEG,arousal
50,32,4.28125,2.6908971402405633,1,9,0.46875,8,0.9971803988942642,25,0.48,0.78125,EEG,arousal
52,32,4.8125,2.161801817182647,1,9,0.53125,8,0.9971803988942642,29,0.4827586206896552,0.90625,EEG,arousal
53,32,3.96875,2.2213680033825134,1,7,0.46875,6,0.9971803988942642,26,0.5769230769230769,0.8125,EEG,arousal
54,32,4.4375,2.227938436631352,1,8,0.625,7,0.954434002924965,22,0.5,0.6875,EEG,arousal
55,32,2.09375,1.253623779546783,1,5,0.09375,4,0.4488644887230294,32,0.59375,1.0,EEG,arousal
56,32,4.84375,2.515877003506768,1,9,0.5,8,1.0,26,0.5384615384615384,0.8125,EEG,arousal
57,32,4.40625,2.18291570330646,1,8,0.5,7,1.0,32,0.5,1.0,EEG,arousal
58,32,3.21875,2.379134770891409,1,8,0.28125,7,0.8571484374283715,24,0.5,0.75,EEG,arousal
59,32,5.53125,2.199477577267662,2,8,0.71875,6,0.8571484374283715,27,0.5185185185185185,0.84375,EEG,arousal
60,32,5.53125,3.252635407907593,1,9,0.625,8,0.954434002924965,25,0.56,0.78125,EEG,arousal
61,32,3.4375,2.9505330300286965,1,9,0.28125,8,0.8571484374283715,26,0.46153846153846156,0.8125,EEG,arousal
62,32,3.9375,3.151420570616246,1,9,0.34375,8,0.9283620723948676,24,0.4583333333333333,0.75,EEG,arousal
63,32,4.03125,3.23772495793355,1,9,0.375,8,0.954434002924965,24,0.4583333333333333,0.75,EEG,arousal
64,32,4.4375,2.368305505576072,1,9,0.5,8,1.0,22,0.5,0.6875,EEG,arousal
65,32,3.28125,3.123628731397652,1,9,0.3125,8,0.8960382325345574,31,0.41935483870967744,0.96875,EEG,arousal
1,32,4.46875,2.5142737680382305,1,9,0.53125,8,0.9971803988942642,23,0.5217391304347826,0.71875,EMG,valence
2,32,4.53125,2.8847136046140105,1,9,0.5,8,1.0,24,0.5416666666666666,0.75,EMG,valence
3,32,4.71875,2.690897140240563,1,9,0.53125,8,0.9971803988942642,25,0.48,0.78125,EMG,valence
5,32,5.09375,2.9332287065895986,1,9,0.53125,8,0.9971803988942642,24,0.5416666666666666,0.75,EMG,valence
6,32,4.8125,3.094610299088692,1,9,0.53125,8,0.9971803988942642,22,0.5,0.6875,EMG,valence
7,32,4.75,1.9176598642195932,2,8,0.59375,6,0.9744894033980523,25,0.48,0.78125,EMG,valence
8,32,5.25,2.7356664576921537,1,9,0.5625,8,0.9886994082884974,26,0.46153846153846156,0.8125,EMG,valence
9,32,5.40625,2.6009846150529103,1,9,0.65625,8,0.9283620723948676,24,0.5416666666666666,0.75,EMG,valence
10,32,4.875,2.4593468841898236,1,9,0.5625,8,0.9886994082884974,26,0.46153846153846156,0.8125,EMG,valence
11,32,4.8125,3.1870453502446634,1,9,0.5625,8,0.9886994082884974,26,0.5384615384615384,0.8125,EMG,valence
12,32,5.15625,1.9194988425241661,1,9,0.75,8,0.8112781244591328,32,0.4375,1.0,EMG,valence
13,32,4.4375,1.8480591388386793,1,8,0.59375,7,0.9744894033980523,24,0.4583333333333333,0.75,EMG,valence
14,32,4.59375,2.2698497179186736,1,8,0.6875,7,0.8960382325345574,32,0.40625,1.0,EMG,valence
15,32,4.75,1.7780017780026671,2,8,0.59375,6,0.9744894033980523,32,0.59375,1.0,EMG,valence
16,32,4.53125,2.031753969738557,1,8,0.59375,7,0.9744894033980523,24,0.5416666666666666,0.75,EMG,valence
17,32,5.15625,2.6653012297226915,1,9,0.59375,8,0.9744894033980523,24,0.4583333333333333,0.75,EMG,valence
18,32,5.34375,2.902828153770488,1,9,0.625,8,0.954434002924965,23,0.5217391304347826,0.71875,EMG,valence
19,32,5.09375,2.0376991293945936,1,8,0.71875,7,0.8571484374283715,32,0.4375,1.0,EMG,valence
20,32,4.46875,2.396023251004639,1,8,0.5,7,1.0,22,0.5,0.6875,EMG,valence
21,32,4.75,2.8960484758017344,1,9,0.5,8,1.0,28,0.42857142857142855,0.875,EMG,valence
22,32,4.625,1.9633743172603177,1,8,0.6875,7,0.8960382325345574,32,0.34375,1.0,EMG,valence
23,32,5.125,2.562131169365116,1,9,0.625,8,0.954434002924965,23,0.4782608695652174,0.71875,EMG,valence
24,32,4.375,2.136472824314004,1,8,0.65625,7,0.9283620723948676,32,0.65625,1.0,EMG,valence
25,32,4.84375,2.8296742659912115,1,9,0.5625,8,0.9886994082884974,23,0.4782608695652174,0.71875,EMG,valence
26,32,4.5625,2.850438562747845,1,9,0.53125,8,0.9971803988942642,23,0.4782608695652174,0.71875,EMG,valence
27,32,5.15625,2.5666518293105565,1,9,0.59375,8,0.9744894033980523,26,0.5,0.8125,EMG,valence
28,32,4.84375,1.6086334613277278,2,7,0.59375,5,0.9744894033980523,25,0.48,0.78125,EMG,valence
29,32,5.375,2.2965612442055834,1,9,0.65625,8,0.9283620723948676,24,0.5416666666666666,0.75,EMG,valence
30,32,4.90625,2.7162518648955194,1,8,0.59375,7,0.9744894033980523,25,0.48,0.78125,EMG,valence
31,32,5.53125,3.5558618119671714,1,9,0.59375,8,0.9744894033980523,25,0.56,0.78125,EMG,valence
32,32,4.5,2.1251185925162073,1,9,0.59375,8,0.9744894033980523,23,0.5217391304347826,0.71875,EMG,valence
33,32,4.78125,1.9794814407297552,1,8,0.625,7,0.954434002924965,25,0.52,0.78125,EMG,valence
34,32,4.0625,2.093576966851,1,7,0.5625,6,0.9886994082884974,31,0.5806451612903226,0.96875,EMG,valence
35,32,4.6875,2.235166155330624,1,8,0.625,7,0.954434002924965,25,0.52,0.78125,EMG,valence
36,32,4.65625,2.8580319757122292,1,9,0.53125,8,0.9971803988942642,24,0.5416666666666666,0.75,EMG,valence
37,32,4.71875,1.1704527659924406,3,7,0.625,4,0.954434002924965,32,0.625,1.0,EMG,valence
38,32,4.6875,1.9416903178217118,1,9,0.40625,8,0.9744894033980523,30,0.36666666666666664,0.9375,EMG,valence
39,32,4.6875,2.8673636312034767,1,9,0.59375,8,0.9744894033980523,22,0.5,0.6875,EMG,valence
40,32,5.125,3.250310158897495,1,9,0.53125,8,0.9971803988942642,23,0.5217391304347826,0.71875,EMG,valence
41,32,5.15625,1.3466655355046884,2,8,0.71875,6,0.8571484374283715,32,0.34375,1.0,EMG,valence
42,32,5.125,2.9594027296278944,1,9,0.5625,8,0.9886994082884974,22,0.5,0.6875,EMG,valence
43,32,5.1875,2.9009175411660983,1,9,0.625,8,0.954434002924965,26,0.5384615384615384,0.8125,EMG,valence
44,32,5.625,2.324483987135987,1,9,0.71875,8,0.8571484374283715,30,0.36666666666666664,0.9375,EMG,valence
45,32,4.8125,2.131749243862813,2,8,0.59375,6,0.9744894033980523,25,0.52,0.78125,EMG,valence
46,32,4.53125,2.895874429197064,1,9,0.46875,8,0.9971803988942642,23,0.5217391304347826,0.71875,EMG,valence
47,32,4.875,3.210366273948072,1,9,0.53125,8,0.9971803988942642,22,0.5,0.6875,EMG,valence
48,32,5.3125,2.428825549187734,1,9,0.6875,8,0.8960382325345574,29,0.41379310344827586,0.90625,EMG,valence
49,32,4.96875,1.3316101095557091,2,7,0.6875,5,0.8960382325345574,32,0.34375,1.0,EMG,valence
50,32,4.875,3.3190554427815853,1,9,0.53125,8,0.9971803988942642,24,0.5,0.75,EMG,valence
52,32,4.34375,2.025791362692933,1,8,0.46875,7,0.9971803988942642,23,0.4782608695652174,0.71875,EMG,valence
53,32,4.25,2.6273990573286756,1,8,0.5625,7,0.9886994082884974,25,0.56,0.78125,EMG,valence
54,32,5.1875,2.4155076939134017,1,9,0.59375,8,0.9744894033980523,26,0.5,0.8125,EMG,valence
55,32,5.375,1.930234817739257,1,9,0.75,8,0.8112781244591328,30,0.36666666666666664,0.9375,EMG,valence
56,32,4.75,2.7474328193377526,1,9,0.5,8,1.0,26,0.5,0.8125,EMG,valence
57,32,5.65625,2.823968552781134,1,9,0.71875,8,0.8571484374283715,26,0.46153846153846156,0.8125,EMG,valence
58,32,5.21875,2.2822509403741535,1,9,0.65625,8,0.9283620723948676,22,0.5,0.6875,EMG,valence
59,32,5.125,2.3244839871359866,2,9,0.53125,7,0.9971803988942642,27,0.4444444444444444,0.84375,EMG,valence
60,32,5.0625,3.0684397632420883,1,9,0.65625,8,0.9283620723948676,24,0.5416666666666666,0.75,EMG,valence
61,32,6.0,3.2128773156099952,1,9,0.65625,8,0.9283620723948676,23,0.5217391304347826,0.71875,EMG,valence
62,32,5.5,2.6639771383306554,1,9,0.65625,8,0.9283620723948676,23,0.5217391304347826,0.71875,EMG,valence
63,32,4.875,2.791114935047491,1,9,0.625,8,0.954434002924965,23,0.4782608695652174,0.71875,EMG,valence
64,32,4.34375,2.193970844044225,1,9,0.625,8,0.954434002924965,31,0.6451612903225806,0.96875,EMG,valence
65,32,5.0,2.747432819337753,1,9,0.59375,8,0.9744894033980523,24,0.4583333333333333,0.75,EMG,valence
1,32,4.40625,2.473855225638589,1,8,0.46875,7,0.9971803988942642,27,0.4444444444444444,0.84375,EMG,arousal
2,32,6.5,2.341766633920198,2,9,0.78125,7,0.7578784625383954,30,0.5333333333333333,0.9375,EMG,arousal
3,32,3.0625,1.5437177579237178,1,6,0.1875,5,0.6962122601251458,27,0.5555555555555556,0.84375,EMG,arousal
5,32,5.1875,2.1165629472513734,1,8,0.625,7,0.954434002924965,23,0.4782608695652174,0.71875,EMG,arousal
6,32,7.53125,1.4138571128243032,3,9,0.9375,6,0.3372900666170139,32,0.59375,1.0,EMG,arousal
7,32,3.28125,0.9240295694193394,2,5,0.125,3,0.5435644431995964,32,0.34375,1.0,EMG,arousal
8,32,3.3125,2.5328487085977245,1,8,0.34375,7,0.9283620723948676,24,0.4583333333333333,0.75,EMG,arousal
9,32,5.34375,1.9936896416184675,1,9,0.6875,8,0.8960382325345574,32,0.53125,1.0,EMG,arousal
10,32,4.1875,2.608144810941047,1,9,0.40625,8,0.9744894033980523,22,0.5,0.6875,EMG,arousal
11,32,5.0,1.917659864219594,1,9,0.65625,8,0.9283620723948676,24,0.5416666666666666,0.75,EMG,arousal
12,32,4.8125,1.1760376338064324,3,7,0.46875,4,0.9971803988942642,32,0.46875,1.0,EMG,arousal
13,32,2.375,1.2636353087613479,1,5,0.0625,4,0.3372900666170139,32,0.34375,1.0,EMG,arousal
14,32,2.75,1.6655910507645917,1,7,0.1875,6,0.6962122601251458,32,0.46875,1.0,EMG,arousal
15,32,3.8125,2.2495519267106823,1,8,0.40625,7,0.9744894033980523,25,0.52,0.78125,EMG,arousal
16,32,4.0625,2.487873816943347,1,9,0.34375,8,0.9283620723948676,22,0.5,0.6875,EMG,arousal
17,32,3.71875,2.4127935221740713,1,8,0.25,7,0.8112781244591328,26,0.5384615384615384,0.8125,EMG,arousal
18,32,4.9375,3.0154173733471574,1,9,0.5625,8,0.9886994082884974,26,0.5,0.8125,EMG,arousal
19,32,5.4375,1.9664525124881522,1,8,0.71875,7,0.8571484374283715,27,0.48148148148148145,0.84375,EMG,arousal
20,32,5.3125,2.1766725123009323,2,9,0.59375,7,0.9744894033980523,24,0.4583333333333333,0.75,EMG,arousal
21,32,4.34375,2.7894892005526746,1,9,0.34375,8,0.9283620723948676,22,0.5,0.6875,EMG,arousal
22,32,3.8125,3.0841687330938212,1,9,0.40625,8,0.9744894033980523,25,0.52,0.78125,EMG,arousal
23,32,5.15625,2.1418920637845473,1,9,0.59375,8,0.9744894033980523,26,0.5,0.8125,EMG,arousal
24,32,4.28125,2.7501832783500317,1,9,0.375,8,0.954434002924965,23,0.4782608695652174,0.71875,EMG,arousal
25,32,4.25,3.090046455439496,1,9,0.375,8,0.954434002924965,25,0.44,0.78125,EMG,arousal
26,32,3.125,2.4196773978523294,1,8,0.3125,7,0.8960382325345574,28,0.4642857142857143,0.875,EMG,arousal
27,32,5.0625,1.7401798201483698,3,8,0.5,5,1.0,29,0.4482758620689655,0.90625,EMG,arousal
28,32,3.15625,2.3842138759875575,1,8,0.25,7,0.8112781244591328,22,0.5,0.6875,EMG,arousal
29,32,3.8125,2.116562947251373,1,8,0.34375,7,0.9283620723948676,28,0.39285714285714285,0.875,EMG,arousal
30,32,4.34375,2.1039038215475965,2,9,0.375,7,0.954434002924965,25,0.48,0.78125,EMG,arousal
31,32,5.125,3.289769086905841,1,9,0.5625,8,0.9886994082884974,25,0.44,0.78125,EMG,arousal
32,32,4.4375,2.0150642349482912,1,8,0.4375,7,0.9886994082884974,25,0.56,0.78125,EMG,arousal
33,32,3.59375,1.6628652885131538,1,6,0.375,5,0.954434002924965,27,0.4444444444444444,0.84375,EMG,arousal
34,32,3.84375,2.411121744026238,1,9,0.375,8,0.954434002924965,26,0.46153846153846156,0.8125,EMG,arousal
35,32,4.59375,1.603612353608303,2,8,0.5,6,1.0,32,0.5,1.0,EMG,arousal
36,32,4.875,2.5871892831984242,1,9,0.5625,8,0.9886994082884974,22,0.5,0.6875,EMG,arousal
37,32,4.75,1.3678332288460768,2,7,0.6875,5,0.8960382325345574,32,0.3125,1.0,EMG,arousal
38,32,4.5,2.0160645150967413,1,8,0.5625,7,0.9886994082884974,24,0.5,0.75,EMG,arousal
39,32,3.84375,2.9850095909501726,1,9,0.3125,8,0.8960382325345574,28,0.4642857142857143,0.875,EMG,arousal
40,32,5.375,3.1082616238953644,1,9,0.59375,8,0.9744894033980523,25,0.56,0.78125,EMG,arousal
41,32,2.375,0.8327955253822961,1,4,0.0,3,0.0,32,0.34375,1.0,EMG,arousal
42,32,6.34375,2.2945851406609292,2,9,0.78125,7,0.7578784625383954,25,0.48,0.78125,EMG,arousal
43,32,4.1875,3.052629749428642,1,9,0.5,8,1.0,28,0.5714285714285714,0.875,EMG,arousal
44,32,3.8125,2.85609139638705,1,9,0.375,8,0.954434002924965,28,0.42857142857142855,0.875,EMG,arousal
45,32,4.6875,1.6932027297021957,2,8,0.5625,6,0.9886994082884974,25,0.44,0.78125,EMG,arousal
46,32,4.40625,1.9152928690394972,1,8,0.4375,7,0.9886994082884974,27,0.4444444444444444,0.84375,EMG,arousal
47,32,4.96875,2.822540322292623,1,9,0.65625,8,0.9283620723948676,23,0.5217391304347826,0.71875,EMG,arousal
48,32,4.40625,2.1829157033064592,1,8,0.5,7,1.0,22,0.5,0.6875,EMG,arousal
49,32,2.65625,1.4052751997729038,1,6,0.15625,5,0.6252624052234231,32,0.46875,1.0,EMG,arousal
50,32,4.28125,2.6908971402405633,1,9,0.46875,8,0.9971803988942642,25,0.48,0.78125,EMG,arousal
52,32,4.8125,2.161801817182647,1,9,0.53125,8,0.9971803988942642,29,0.4827586206896552,0.90625,EMG,arousal
53,32,3.96875,2.2213680033825134,1,7,0.46875,6,0.9971803988942642,26,0.5769230769230769,0.8125,EMG,arousal
54,32,4.4375,2.227938436631352,1,8,0.625,7,0.954434002924965,22,0.5,0.6875,EMG,arousal
55,32,2.09375,1.253623779546783,1,5,0.09375,4,0.4488644887230294,32,0.59375,1.0,EMG,arousal
