dataset,repetition,role,axis,entity_id,fold_index_0based,fold_index_1based,seed,partition_uses_labels,manifest_sha256
DEAP,0,primary,subject,s31,2,3,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,subject,s32,0,1,534078107,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp01,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp02,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp03,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp04,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp05,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp06,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp07,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp08,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp09,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp10,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp11,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp12,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp13,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp14,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp15,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp16,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp17,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp18,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp19,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp20,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp21,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp22,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp23,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp24,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp25,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp26,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp27,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp28,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp29,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp30,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp31,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp32,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp33,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp34,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp35,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp36,0,1,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp37,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp38,3,4,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp39,1,2,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,0,primary,stimulus,exp40,2,3,3809975031,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s01,2,3,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s02,1,2,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s03,1,2,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s04,1,2,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s05,2,3,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s06,3,4,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s07,3,4,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s08,1,2,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s09,2,3,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s10,2,3,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s11,0,1,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s12,1,2,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s13,1,2,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s14,3,4,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s15,3,4,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s16,1,2,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s17,0,1,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s18,2,3,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s19,0,1,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s20,0,1,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s21,2,3,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s22,3,4,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s23,0,1,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s24,0,1,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s25,3,4,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s26,3,4,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s27,1,2,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s28,0,1,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s29,2,3,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s30,0,1,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s31,2,3,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,subject,s32,3,4,3561674768,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp01,2,3,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp02,0,1,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp03,1,2,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp04,0,1,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp05,0,1,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp06,3,4,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp07,3,4,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp08,2,3,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp09,2,3,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp10,0,1,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp11,3,4,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp12,3,4,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp13,2,3,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp14,1,2,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp15,2,3,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp16,2,3,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp17,3,4,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp18,3,4,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp19,1,2,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp20,3,4,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp21,1,2,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp22,2,3,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp23,0,1,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp24,1,2,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp25,0,1,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp26,1,2,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp27,1,2,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp28,3,4,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp29,0,1,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp30,0,1,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp31,3,4,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp32,1,2,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp33,0,1,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp34,2,3,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp35,1,2,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp36,0,1,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp37,1,2,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp38,2,3,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp39,3,4,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,1,sensitivity,stimulus,exp40,2,3,1568002217,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s01,3,4,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s02,0,1,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s03,2,3,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s04,0,1,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s05,2,3,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s06,1,2,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s07,1,2,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s08,3,4,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s09,0,1,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s10,3,4,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s11,2,3,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s12,1,2,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s13,1,2,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s14,1,2,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s15,3,4,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s16,0,1,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s17,3,4,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s18,3,4,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s19,2,3,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s20,0,1,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s21,2,3,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s22,0,1,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s23,0,1,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s24,0,1,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s25,2,3,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s26,3,4,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s27,1,2,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s28,3,4,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s29,2,3,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s30,2,3,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s31,1,2,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,subject,s32,1,2,348182270,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp01,1,2,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp02,0,1,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp03,0,1,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp04,2,3,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp05,1,2,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp06,0,1,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp07,0,1,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp08,0,1,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp09,1,2,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp10,2,3,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp11,2,3,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp12,0,1,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp13,1,2,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp14,0,1,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp15,2,3,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp16,3,4,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp17,3,4,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp18,1,2,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp19,2,3,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp20,1,2,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp21,3,4,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
DEAP,2,sensitivity,stimulus,exp22,2,3,3761437344,False,c40aa73e17098e17c95c79417176308e2459e1f709fe0f8583b48cfcd659a478
