dataset,target,protocol,model,label_policy,binary_source,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate
DEAP,valence,leave_one_subject_out,stimulus_only,discard_midpoint,class_prior_probability,1264,0.7420886075949367,0.739462667154412,0.7388853403088278,0.837221324635207,556,708,0.560126582278481,0.5506329113924051
DEAP,valence,leave_one_subject_out,stimulus_only,discard_midpoint,score_threshold,1264,0.7800632911392406,0.7834003983254074,0.7790876628275412,0.8393425090436125,556,708,0.560126582278481,0.5063291139240507
DEAP,valence,leave_one_subject_out,stimulus_only,midpoint_as_high,class_prior_probability,1280,0.7515625,0.7476251043364204,0.7474160783963304,0.8338119559600938,556,724,0.565625,0.5625
DEAP,valence,leave_one_subject_out,stimulus_only,midpoint_as_high,score_threshold,1280,0.77578125,0.7798849318335387,0.7746422193717146,0.8361533149171271,556,724,0.565625,0.50546875
DEAP,valence,leave_one_subject_out,stimulus_only,midpoint_as_low,class_prior_probability,1280,0.7640625,0.7643909762553831,0.7626136084500124,0.8334345739006755,572,708,0.553125,0.525
DEAP,valence,leave_one_subject_out,stimulus_only,midpoint_as_low,score_threshold,1280,0.77734375,0.7799227608549641,0.776576686928695,0.8352927087037256,572,708,0.553125,0.50546875
DEAP,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,discard_midpoint,class_prior_probability,1264,0.7895569620253164,0.7885928545299354,0.7873071541172928,0.8535798479860179,556,708,0.560126582278481,0.5427215189873418
DEAP,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,discard_midpoint,score_threshold,1264,0.7824367088607594,0.7830091858716417,0.780683905315513,0.8564174084461245,556,708,0.560126582278481,0.5292721518987342
DEAP,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_high,class_prior_probability,1280,0.7859375,0.7842720298899002,0.7830368896675277,0.8514920108112405,556,724,0.565625,0.55
DEAP,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_high,score_threshold,1280,0.77890625,0.779934615843237,0.7769127068733722,0.8532259827497118,556,724,0.565625,0.52890625
DEAP,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_low,class_prior_probability,1280,0.7859375,0.7851724546639801,0.7841648696816628,0.8501084014855201,572,708,0.553125,0.5375
DEAP,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_low,score_threshold,1280,0.77890625,0.7789844336454506,0.777408403103157,0.852724605902572,572,708,0.553125,0.52890625
I-DARE,arousal,leave_one_stimulus_out,subject_only,discard_midpoint,class_prior_probability,1799,0.6459143968871596,0.594247745908077,0.5934982449979338,0.6600248185730891,1112,687,0.3818788215675375,0.25903279599777657
I-DARE,arousal,leave_one_stimulus_out,subject_only,discard_midpoint,score_threshold,1799,0.6481378543635353,0.586032484056423,0.5805827152200072,0.6647188799178998,1112,687,0.3818788215675375,0.21678710394663703
I-DARE,arousal,leave_one_stimulus_out,subject_only,midpoint_as_high,class_prior_probability,2016,0.5952380952380952,0.5846756223339912,0.5842324054154603,0.6587876822435856,1112,904,0.44841269841269843,0.3888888888888889
I-DARE,arousal,leave_one_stimulus_out,subject_only,midpoint_as_high,score_threshold,2016,0.6046626984126984,0.5773898580250844,0.5583233709389097,0.6518262160183358,1112,904,0.44841269841269843,0.22767857142857142
I-DARE,arousal,leave_one_stimulus_out,subject_only,midpoint_as_low,class_prior_probability,2016,0.6899801587301587,0.5932900923635002,0.5906708028407446,0.6327047620925212,1329,687,0.34077380952380953,0.16666666666666666
I-DARE,arousal,leave_one_stimulus_out,subject_only,midpoint_as_low,score_threshold,2016,0.6666666666666666,0.5836939485642749,0.583698393734236,0.6476205966333817,1329,687,0.34077380952380953,0.21279761904761904
I-DARE,arousal,leave_one_subject_out,stimulus_only,discard_midpoint,class_prior_probability,1799,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8380188862010828,1112,687,0.3818788215675375,0.3129516397998888
I-DARE,arousal,leave_one_subject_out,stimulus_only,discard_midpoint,score_threshold,1799,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8449886379106322,1112,687,0.3818788215675375,0.3129516397998888
I-DARE,arousal,leave_one_subject_out,stimulus_only,midpoint_as_high,class_prior_probability,2016,0.7628968253968254,0.752689883491437,0.7552652430971779,0.8085537101292417,1112,904,0.44841269841269843,0.375
I-DARE,arousal,leave_one_subject_out,stimulus_only,midpoint_as_high,score_threshold,2016,0.7599206349206349,0.743163875978863,0.7453650012578512,0.8100016115426243,1112,904,0.44841269841269843,0.3125
I-DARE,arousal,leave_one_subject_out,stimulus_only,midpoint_as_low,class_prior_probability,2016,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.8041265115993792,1329,687,0.34077380952380953,0.3125
I-DARE,arousal,leave_one_subject_out,stimulus_only,midpoint_as_low,score_threshold,2016,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.816073636699185,1329,687,0.34077380952380953,0.3125
I-DARE,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,discard_midpoint,class_prior_probability,1799,0.8521400778210116,0.8350553181908622,0.8405511706077884,0.9159270836605824,1112,687,0.3818788215675375,0.34852695942190104
I-DARE,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,discard_midpoint,score_threshold,1799,0.8515842134519177,0.8332148691527128,0.8394804778160418,0.9164271203124836,1112,687,0.3818788215675375,0.3435241801000556
I-DARE,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_high,class_prior_probability,2016,0.8149801587301587,0.8086959635831159,0.8110431390286652,0.8820032469599541,1112,904,0.44841269841269843,0.4072420634920635
I-DARE,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_high,score_threshold,2016,0.7976190476190477,0.7845785318647737,0.788527771464536,0.8798346278729229,1112,904,0.44841269841269843,0.34424603174603174
I-DARE,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_low,class_prior_probability,2016,0.8363095238095238,0.8093980107839562,0.8145900011036309,0.8888779362622847,1329,687,0.34077380952380953,0.3169642857142857
I-DARE,arousal,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_low,score_threshold,2016,0.8298611111111112,0.8118902809677302,0.8111220582398784,0.8893319226350267,1329,687,0.34077380952380953,0.34424603174603174
I-DARE,valence,leave_one_stimulus_out,subject_only,discard_midpoint,class_prior_probability,1667,0.44631073785242953,0.4434181718664477,0.4377243095350075,0.41903249503068013,812,855,0.5128974205158968,0.6106778644271146
I-DARE,valence,leave_one_stimulus_out,subject_only,discard_midpoint,score_threshold,1667,0.5038992201559688,0.5066502463054188,0.49951625545052136,0.43920001152306054,812,855,0.5128974205158968,0.3935212957408518
I-DARE,valence,leave_one_stimulus_out,subject_only,midpoint_as_high,class_prior_probability,2016,0.5704365079365079,0.48820025203345174,0.4130234809973372,0.4617132137538255,812,1204,0.5972222222222222,0.9206349206349206
I-DARE,valence,leave_one_stimulus_out,subject_only,midpoint_as_high,score_threshold,2016,0.47767857142857145,0.49294019933554817,0.4775210920123425,0.43672824984043335,812,1204,0.5972222222222222,0.4201388888888889
I-DARE,valence,leave_one_stimulus_out,subject_only,midpoint_as_low,class_prior_probability,2016,0.5342261904761905,0.48077882043610315,0.4314913747253219,0.46233081987195956,1161,855,0.42410714285714285,0.15079365079365079
I-DARE,valence,leave_one_stimulus_out,subject_only,midpoint_as_low,score_threshold,2016,0.5252976190476191,0.5087855297157623,0.5082840358841084,0.45677350136754463,1161,855,0.42410714285714285,0.3898809523809524
I-DARE,valence,leave_one_subject_out,stimulus_only,discard_midpoint,class_prior_probability,1667,0.9562087582483503,0.9558854031630801,0.9561480984993036,0.9810467260104284,812,855,0.5128974205158968,0.5242951409718056
I-DARE,valence,leave_one_subject_out,stimulus_only,discard_midpoint,score_threshold,1667,0.9562087582483503,0.9558854031630801,0.9561480984993036,0.9818403768040792,812,855,0.5128974205158968,0.5242951409718056
I-DARE,valence,leave_one_subject_out,stimulus_only,midpoint_as_high,class_prior_probability,2016,0.9012896825396826,0.8981126131286516,0.8975534156905295,0.9542289249300362,812,1204,0.5972222222222222,0.59375
I-DARE,valence,leave_one_subject_out,stimulus_only,midpoint_as_high,score_threshold,2016,0.8883928571428571,0.8973393286745333,0.8865198546473447,0.9531155385169304,812,1204,0.5972222222222222,0.53125
I-DARE,valence,leave_one_subject_out,stimulus_only,midpoint_as_low,class_prior_probability,2016,0.8878968253968254,0.8921891291536335,0.886594982078853,0.9443064307337393,1161,855,0.42410714285714285,0.46875
I-DARE,valence,leave_one_subject_out,stimulus_only,midpoint_as_low,score_threshold,2016,0.8660714285714286,0.8795593635250918,0.8658039779535107,0.943285935194,1161,855,0.42410714285714285,0.53125
I-DARE,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,discard_midpoint,class_prior_probability,1667,0.9562087582483503,0.9558854031630801,0.9561480984993036,0.9846087920951805,812,855,0.5128974205158968,0.5242951409718056
I-DARE,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,discard_midpoint,score_threshold,1667,0.9556088782243551,0.9552386713911214,0.9555412835572163,0.9842162878460519,812,855,0.5128974205158968,0.5260947810437913
I-DARE,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_high,class_prior_probability,2016,0.9052579365079365,0.9028382403482644,0.9017868370140909,0.960460206536504,812,1204,0.5972222222222222,0.5907738095238095
I-DARE,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_high,score_threshold,2016,0.8888888888888888,0.8973536487570168,0.8869502523431867,0.9575695956008706,812,1204,0.5972222222222222,0.5337301587301587
I-DARE,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_low,class_prior_probability,2016,0.8854166666666666,0.8888027562446167,0.883945257177974,0.9513330411875224,1161,855,0.42410714285714285,0.4632936507936508
I-DARE,valence,leave_one_subject_stimulus_pair_out,subject_stimulus_additive_loo_cell,midpoint_as_low,score_threshold,2016,0.8645833333333334,0.8784215059612857,0.8643421753494119,0.9519873470641864,1161,855,0.42410714285714285,0.5337301587301587
