scheme,trial_index,seed,min_test_class_support,min_train_class_support,min_test_retained,single_class_test_flags,single_class_train_flags,max_midpoint_removed_fraction,min_held_subjects,max_held_subjects,min_held_stimuli,max_held_stimuli,strong_capacity_pass,minimal_capacity_pass
deap_4x4,34,3954557098,17,272,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,35,908459949,23,277,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,36,3576068669,16,260,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,37,2704532175,24,268,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,38,2093365510,20,275,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,39,1109517658,20,272,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,40,1305276727,22,273,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,41,2006503864,17,268,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,42,3837317314,17,247,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,43,2735620900,23,265,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,44,3560586009,22,267,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,45,4143302334,20,256,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,46,4017139915,24,273,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,47,2553340814,22,276,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,48,140613015,25,280,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,49,1790099408,17,252,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,50,2469665867,19,272,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,51,2338877733,19,263,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,52,2425108755,26,275,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,53,4282825402,21,269,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,54,2897117249,25,261,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,55,4064716642,22,265,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,56,877350314,21,254,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,57,2811245042,17,272,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,58,4091270401,24,268,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,59,4183114338,23,278,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,60,883122664,21,265,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,61,336228391,20,267,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,62,905868727,17,246,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,63,1824043166,20,264,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,64,2616369903,17,235,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,65,2470824410,19,267,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,66,3972324338,17,256,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,67,3684390870,21,259,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,68,3895733615,22,271,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,69,1916300065,19,252,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,70,4126939246,22,276,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,71,2943205296,21,261,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,72,3208506874,23,269,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,73,1093023410,18,266,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,74,374703203,18,255,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,75,1952609071,25,268,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,76,971145562,19,254,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,77,3577843705,18,269,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,78,1648690093,14,277,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,79,1288740729,23,271,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,80,1431514426,16,262,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,81,1078286498,18,269,74,0,0,0.075,8,8,10,10,True,True
deap_4x4,82,1039866144,22,267,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,83,4250179321,17,246,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,84,3788225017,21,268,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,85,511189193,21,267,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,86,2739291480,20,256,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,87,1452257868,23,271,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,88,488124736,18,269,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,89,4199200234,22,277,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,90,1407386016,20,264,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,91,3485988509,12,274,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,92,2062661100,18,271,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,93,4055314296,24,264,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,94,1862771864,22,255,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,95,2115858559,20,269,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,96,3887170729,16,236,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,97,1541008859,24,279,74,0,0,0.075,8,8,10,10,True,True
deap_4x4,98,1353966354,25,274,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,99,465141750,21,276,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,100,2562683780,14,265,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,101,126931412,22,270,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,102,959816151,23,251,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,103,1506061837,14,260,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,104,2488679610,23,266,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,105,3324500027,22,267,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,106,276127147,19,261,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,107,4062387090,22,258,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,108,2826430166,18,267,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,109,3663102356,25,270,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,110,2321980162,23,265,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,111,3338868743,22,276,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,112,637215331,21,271,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,113,1289065997,14,262,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,114,60577709,22,273,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,115,1186536305,23,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,116,383337375,17,265,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,117,3600105488,23,267,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,118,1847094570,22,272,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,119,1711399400,24,280,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,120,1729969642,14,265,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,121,353136746,20,267,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,122,3015299762,22,275,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,123,1455352072,16,266,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,124,1303245031,20,267,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,125,2896624100,22,266,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,126,3307616943,19,264,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,127,4254278311,24,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,128,3150068,22,271,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,129,974633699,16,254,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,130,1803243418,25,272,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,131,579016398,21,261,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,132,3471170727,24,265,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,133,2884808167,23,265,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,134,3013985713,18,261,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,135,2626744945,24,265,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,136,52081230,24,270,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,137,3790335531,21,272,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,138,2253681915,19,244,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,139,1449581925,21,269,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,140,1244787002,21,270,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,141,3076878007,23,275,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,142,3113995215,20,270,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,143,696861265,23,259,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,144,298662440,20,266,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,145,2419405066,22,264,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,146,1487834350,22,271,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,147,2479502344,20,254,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,148,3872123640,21,262,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,149,447171716,21,268,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,150,146594981,24,270,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,151,2593191042,22,268,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,152,2431174593,14,274,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,153,755594617,21,244,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,154,2695849904,13,259,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,155,1392929274,25,262,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,156,449422688,22,271,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,157,3372362549,23,278,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,158,2685678979,20,263,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,159,1576856226,19,260,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,160,2697390441,22,279,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,161,195639280,22,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,162,2788837034,21,255,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,163,1801391782,24,275,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,164,3164569076,17,261,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,165,115136595,22,271,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,166,21566142,24,259,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,167,1549093854,22,261,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,168,906712194,22,263,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,169,204103449,23,264,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,170,1271075312,17,247,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,171,2495694590,17,259,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,172,2946185967,23,268,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,173,5253051,21,259,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,174,3397848767,20,268,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,175,2975974515,20,272,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,176,2662934645,20,250,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,177,3994508549,22,267,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,178,1201830355,18,261,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,179,175049410,20,264,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,180,183135508,19,251,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,181,1181504491,25,263,74,0,0,0.075,8,8,10,10,True,True
deap_4x4,182,1860051606,16,252,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,183,930049242,21,274,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,184,3229643441,21,263,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,185,3835192375,24,275,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,186,713626443,23,253,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,187,944147010,22,272,72,0,0,0.1,8,8,10,10,True,True
deap_4x4,188,3598158569,21,250,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,189,183976253,22,253,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,190,4187775574,15,270,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,191,637477805,26,267,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,192,1756128101,22,272,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,193,3753895279,23,273,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,194,160551032,22,259,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,195,241597107,26,273,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,196,213354085,24,268,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,197,2957478744,24,257,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,198,1491690323,26,281,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,199,188059766,21,276,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,200,1051938007,20,268,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,201,613225306,21,254,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,202,2875821199,18,246,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,203,251389510,21,256,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,204,328679382,17,260,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,205,1269723009,20,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,206,307223803,17,262,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,207,661179431,22,269,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,208,1432671571,22,259,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,209,3197793116,20,276,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,210,3292226185,21,274,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,211,2290398465,21,255,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,212,1408493613,24,275,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,213,3941695176,20,274,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,214,897386343,21,257,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,215,2846967406,25,272,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,216,710468706,13,250,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,217,676232750,17,269,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,218,2731111376,23,276,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,219,731409080,21,270,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,220,548253624,16,250,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,221,3096221135,23,275,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,222,16850874,16,265,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,223,3186588606,14,244,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,224,3706041635,22,276,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,225,3498734155,17,260,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,226,3745884781,24,276,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,227,229409219,21,261,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,228,1522254774,20,277,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,229,1045258197,24,272,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,230,2186235691,25,274,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,231,4207420624,21,268,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,232,3804240049,15,270,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,233,2499573399,24,255,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,234,3799621242,21,272,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,235,1930307386,25,262,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,236,5503761,21,247,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,237,613049148,17,277,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,238,2878547999,20,273,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,239,364719964,14,273,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,240,1146871077,20,263,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,241,4259696333,24,268,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,242,1596242812,20,250,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,243,3299506599,23,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,244,1087873973,14,267,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,245,899729175,21,267,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,246,963914800,20,245,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,247,1711737766,22,262,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,248,3907765571,22,263,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,249,3926938471,18,248,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,250,2025522736,21,276,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,251,4177864556,13,265,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,252,3055998219,17,267,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,253,2021092576,18,265,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,254,1257034999,21,263,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,255,3761769417,25,278,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,256,4025050544,19,268,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,257,3036710613,19,264,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,258,3714205602,23,248,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,259,1223392457,19,250,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,260,1193466319,20,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,261,3979573609,19,271,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,262,2824745558,23,272,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,263,1313499114,24,255,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,264,999724739,18,250,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,265,2409537803,19,245,74,0,0,0.075,8,8,10,10,True,True
deap_4x4,266,1099455404,16,277,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,267,74519685,21,264,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,268,774860587,19,261,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,269,2495494283,25,277,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,270,538032725,24,273,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,271,3280439544,14,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,272,1162113689,15,244,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,273,2773560107,23,279,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,274,3541440643,21,264,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,275,3314568650,18,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,276,2199211923,20,269,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,277,3483829920,21,259,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,278,1493420071,11,255,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,279,1436239149,19,268,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,280,2149899519,13,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,281,858268658,20,261,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,282,3831545895,23,278,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,283,88382759,23,258,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,284,2277224795,23,277,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,285,2458157503,18,253,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,286,2329998817,17,249,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,287,3389988120,16,260,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,288,3985875809,23,269,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,289,2304307909,20,269,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,290,3502950910,19,256,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,291,149168620,22,269,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,292,2521622093,17,243,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,293,493579490,23,280,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,294,2219943891,19,262,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,295,3852166644,23,268,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,296,255585562,12,274,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,297,618861649,17,271,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,298,677721276,18,267,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,299,3844672588,17,259,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,300,3105607650,20,254,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,301,3105952480,21,265,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,302,4287081336,18,255,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,303,769739104,19,266,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,304,4221476861,22,269,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,305,905527152,26,272,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,306,1780690643,14,263,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,307,2173147664,19,240,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,308,223057715,20,269,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,309,308616197,23,255,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,310,3399134989,17,259,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,311,3582841450,22,267,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,312,3576075784,22,270,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,313,2675804966,23,274,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,314,3045702652,22,260,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,315,2435128267,18,279,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,316,2630505964,16,258,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,317,1354290179,23,267,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,318,1253495313,12,257,78,0,0,0.025,8,8,10,10,True,True
deap_4x4,319,1704997449,21,258,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,320,1361094604,20,255,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,321,3869523907,22,265,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,322,2302063804,24,268,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,323,3660208418,22,265,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,324,899822080,19,271,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,325,3974636155,21,263,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,326,169581808,22,271,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,327,1165847962,19,264,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,328,913706955,18,262,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,329,72719001,18,274,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,330,3109792287,22,266,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,331,3967393866,22,268,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,332,775337169,20,270,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,333,3726490400,22,260,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,334,3169222349,19,258,77,0,0,0.0375,8,8,10,10,True,True
deap_4x4,335,683552699,19,251,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,336,4114249402,21,272,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,337,668602329,18,249,75,0,0,0.0625,8,8,10,10,True,True
deap_4x4,338,171502952,19,256,76,0,0,0.05,8,8,10,10,True,True
deap_4x4,339,2883645662,24,277,74,0,0,0.075,8,8,10,10,True,True
deap_4x4,340,354218100,24,264,75,0,0,0.0625,8,8,10,10,True,True
